Ruth Powell	4-(482)899-1307
Nicole Wagner	0-(606)345-2717
Kelly Wells	5-(592)387-1447
Ann Peters	7-(527)267-4982
Wanda Holmes	6-(602)102-1690
Kathryn Hill	3-(842)539-7046
Margaret Oliver	7-(325)096-7562
Martha Payne	4-(848)011-6499
Julie Gonzales	0-(357)550-7694
Anne Welch	9-(964)149-4331
Katherine Bell	2-(684)140-7776
Stephanie Tucker	6-(379)159-0997
Katherine Evans	6-(690)587-3110
Louise Weaver	5-(375)271-7417
Christine Greene	9-(204)132-7139
Paula Taylor	3-(806)997-6175
Rebecca Hanson	5-(886)991-5527
Amy Berry	3-(253)018-7697
Ruth Ward	0-(700)593-6188
Joyce Gilbert	9-(932)096-8058
Judith Gibson	6-(993)952-9932
Louise Murphy	9-(632)388-2917
Sarah Tucker	7-(841)543-2813
Christine Hill	0-(438)293-8013
Teresa Jones	4-(319)795-8799
Irene Carter	4-(227)758-6455
Sharon Kelley	5-(668)624-1352
Michelle Welch	7-(573)541-0249
Michelle Johnston	0-(095)118-2613
Doris Chapman	3-(989)058-7188
Carolyn Hall	2-(350)858-8526
Amy Williams	9-(710)810-3052
Andrea Romero	4-(545)504-9652
Carol Nguyen	2-(974)350-4694
Sharon Gonzales	4-(300)662-1030
Tammy Morris	7-(896)047-2789
Phyllis Kelly	7-(034)078-0752
Dorothy Owens	5-(161)088-7486
Lillian Murray	2-(551)233-5619
Patricia Gardner	5-(313)273-8989
Bonnie Patterson	0-(986)071-7147
Margaret Mills	6-(291)985-5862
Ashley Moore	4-(902)832-3550
Annie Howard	6-(796)099-5789
Kathleen Sanchez	2-(779)223-0763
Rebecca Andrews	0-(921)974-3321
Lisa Day	7-(358)254-6498
Alice Mendoza	7-(665)738-2399
Frances Perkins	6-(716)117-9918
Annie Parker	1-(585)888-8348
Kathleen Alvarez	8-(872)625-3515
Cheryl Morrison	7-(154)926-8203
Amanda Harrison	4-(712)339-3855
Angela Bishop	6-(734)635-2756
Sandra Jacobs	1-(326)577-9161
Lois Howell	5-(030)561-4696
Margaret Welch	8-(446)361-0365
Margaret Allen	5-(244)373-8886
Susan Morales	2-(655)633-6786
Martha Reed	1-(731)813-9461
Maria Hawkins	1-(770)623-0450
Norma Barnes	9-(127)217-9783
Margaret King	0-(126)325-5440
Virginia Hill	0-(393)702-4285
Norma Lopez	7-(557)713-0861
Rachel Bishop	3-(331)587-1759
Annie Henry	1-(248)196-3246
Anne Brooks	0-(208)117-9093
Rose Lane	1-(533)049-2423
Andrea Nguyen	6-(640)533-9862
Lisa Perez	6-(744)445-5427
Rachel Diaz	0-(338)974-7114
Carolyn Gomez	2-(615)151-8959
Sara Morales	1-(429)850-2081
Barbara Garcia	8-(447)473-8745
Linda Fox	4-(703)827-2434
Sharon Ryan	8-(499)952-7987
Catherine Cook	6-(271)370-8273
Martha Carroll	2-(461)732-1881
Kimberly Richardson	2-(415)910-5644
Margaret Schmidt	3-(112)810-5143
Gloria Baker	1-(046)735-5066
Theresa Mendoza	7-(129)430-5291
Jean Jenkins	6-(717)212-1713
Ashley Webb	9-(814)558-2008
Judith Williams	6-(929)123-6314
Norma Anderson	7-(920)043-7107
Kathryn Thompson	8-(513)049-7580
Patricia Berry	0-(750)146-9231
Teresa Perez	9-(887)677-2500
Laura Cooper	3-(119)527-9047
Stephanie Watkins	0-(185)190-4203
Lois Larson	8-(691)987-8232
Christina Lawson	1-(916)470-8991
Judy Crawford	6-(956)342-6831
Karen Allen	9-(806)677-2944
Shirley Dean	1-(150)161-7563
Anne Bowman	0-(759)422-8237
Laura Myers	5-(718)462-5930
Amy Arnold	8-(420)597-7073
Lois Black	0-(307)772-7389
Kathy Cox	4-(042)336-2032
Sarah Mills	1-(842)117-5256
Anna Jacobs	6-(396)141-1121
Virginia Holmes	9-(001)747-0048
Deborah Woods	4-(888)463-8190
Sandra Mason	9-(194)034-5270
Lori Howell	1-(143)688-8536
Christine Schmidt	2-(902)845-2181
Donna Johnson	6-(716)290-0420
Pamela Sanders	4-(639)801-0998
Tammy Grant	9-(816)206-7698
Denise Grant	3-(524)923-6918
Karen Fox	3-(227)306-7347
Margaret Morrison	6-(605)419-7340
Nicole Black	1-(134)014-7207
Carol Young	4-(522)153-8346
Sarah Cox	9-(590)927-3928
Joyce Burns	4-(687)527-6898
Andrea Burns	3-(016)671-8221
Diana Coleman	7-(841)959-8015
Kimberly Thomas	4-(870)652-8228
Teresa Smith	9-(275)698-2543
Virginia Gordon	1-(568)749-3018
Melissa Hansen	5-(556)673-5605
Margaret Cruz	4-(311)958-1181
Louise Stephens	4-(494)203-6059
Ruby Bell	2-(250)372-0943
Denise Hudson	0-(345)768-0647
Martha Kelley	6-(745)265-9586
Ann Little	3-(579)573-6067
Lois Lawrence	1-(308)966-5879
Katherine Jackson	1-(561)884-8716
Maria Wood	8-(282)279-5459
Mary Austin	0-(271)669-1717
Elizabeth Rose	3-(148)541-1498
Christina Gray	6-(146)341-7695
Amy Woods	3-(211)931-8141
Carol Ward	9-(189)512-2537
Christina Martin	6-(816)622-7718
Sara Sullivan	4-(525)429-0628
Diane Kelley	7-(683)161-1948
Heather Shaw	7-(204)211-0132
Margaret Cooper	8-(239)620-5762
Jacqueline Cox	8-(045)323-7678
Jennifer Diaz	7-(768)559-1691
Lois Owens	5-(956)156-3369
Maria Evans	4-(935)082-7696
Rachel Day	2-(653)197-9282
Marilyn Green	5-(939)236-1507
Anne Stanley	5-(367)481-0015
Nicole Schmidt	1-(609)386-8303
Ruth Ross	4-(931)047-2517
Carolyn Cunningham	8-(136)126-9066
Christine Flores	7-(991)276-0927
Paula Richards	2-(628)704-5644
Sarah Brooks	4-(071)392-9544
Karen Stewart	1-(132)360-4251
Heather Reed	0-(273)955-4738
Kathleen Freeman	1-(444)724-1624
Doris Dixon	7-(784)946-0324
Sarah Garcia	2-(792)823-2598
Jane Morris	8-(317)671-2681
Mary Watkins	8-(634)369-1860
Diane Romero	3-(979)120-2655
Wanda Adams	7-(345)683-1243
Heather Carter	9-(443)924-8195
Judy Boyd	4-(793)266-5543
Emily Knight	9-(547)975-9095
Ruth West	7-(701)430-5105
Anna Cruz	7-(697)292-5993
Melissa Webb	5-(577)924-1499
Betty Ford	2-(643)923-7020
Barbara Matthews	5-(720)060-7445
Annie Watson	4-(330)983-4479
Rachel Webb	3-(575)990-6598
Martha Flores	7-(078)719-0022
Kathleen Hughes	8-(429)826-9831
Julie Campbell	0-(372)316-5818
Judith Gordon	7-(558)734-6676
Amanda Vasquez	8-(223)056-3827
Cynthia Peters	4-(141)016-0346
Cheryl Kelley	8-(993)881-4226
Mildred Torres	6-(489)262-2046
Teresa Coleman	5-(045)529-9998
Jane Williamson	0-(258)836-6834
Anne Washington	0-(335)279-1708
Laura Thomas	4-(270)063-8933
Lisa Kelley	3-(262)588-0892
Anne Rose	9-(695)279-5071
Amanda Fuller	7-(876)714-0968
Irene Scott	6-(286)318-8534
Stephanie Carr	4-(027)799-7889
Stephanie Hicks	7-(558)796-4165
Julia Richardson	9-(842)075-7752
Melissa Harris	2-(817)116-1623
Kathy Hayes	9-(100)000-1544
Elizabeth Lynch	0-(967)595-7457
Andrea Garrett	7-(436)135-3916
Diane Burton	1-(715)880-5645
Deborah Holmes	7-(020)393-8696
Kathryn Scott	6-(691)183-3220
Annie Mccoy	4-(754)832-2647
Dorothy Ross	9-(717)513-0636
Anna Reynolds	8-(785)813-9901
Kathryn Rivera	2-(584)359-9486
Bonnie Ray	0-(097)809-8611
Susan Stanley	8-(082)671-3222
Amanda Mcdonald	6-(103)786-8348
Sarah Peterson	4-(763)843-8634
Debra Jenkins	8-(223)619-9520
Andrea Gonzales	4-(281)263-2411
Kelly Martinez	3-(391)743-0220
Joyce Bell	2-(576)042-4061
Martha Clark	4-(513)884-6578
Marie Hughes	3-(066)291-2495
Kathryn Day	3-(336)405-7480
Karen Moore	9-(148)589-9456
Rachel Johnson	3-(333)274-0834
Judith Rice	6-(312)974-3161
Melissa Berry	9-(667)626-6252
Anna Carter	5-(461)930-9069
Louise Moore	9-(827)567-8977
Jean Ward	4-(550)112-1333
Kelly White	6-(439)432-6937
Ruby Howard	0-(860)992-7765
Theresa Lynch	9-(773)164-6953
Debra Williamson	3-(085)937-1555
Denise George	7-(491)532-0450
Shirley Freeman	2-(903)144-8966
Mary Jacobs	3-(319)435-1322
Nicole Davis	3-(617)871-2228
Mary Cole	1-(712)967-6542
Shirley Hudson	7-(411)070-5706
Heather Reid	0-(304)473-5637
Helen Wilson	2-(478)676-6364
Angela Spencer	5-(572)683-5830
Martha Myers	9-(742)347-4949
Tammy Jenkins	0-(578)100-1721
Margaret Reyes	7-(636)162-3007
Phyllis Ford	0-(677)052-8296
Emily Moore	1-(827)041-9870
Helen Torres	9-(175)192-5756
Heather Bowman	5-(538)760-1630
Theresa Dunn	5-(410)878-8666
Kelly Scott	3-(813)285-0873
Lois Gonzales	9-(495)080-9414
Irene Mcdonald	6-(497)183-9804
Annie Garcia	1-(153)661-2085
Bonnie Carr	6-(280)335-0919
Rose Nichols	0-(302)899-8260
Irene Foster	8-(735)902-5427
Frances Mccoy	6-(850)562-5685
Nicole Robertson	2-(297)284-8476
Marilyn Harvey	6-(659)323-0736
Rose Murphy	5-(425)228-5309
Martha Little	2-(501)848-1920
Lillian Lawrence	9-(315)347-3118
Wanda Nguyen	1-(337)763-1203
Pamela Garza	9-(518)326-1933
Sandra Sanders	0-(603)515-1048
Amanda Lewis	0-(826)713-5505
Karen Austin	7-(177)749-3643
Lois Lopez	5-(639)773-8066
Robin Carpenter	8-(706)061-2992
Bonnie Mcdonald	4-(805)377-1063
Frances Mitchell	7-(129)467-9000
Ann Allen	6-(449)207-1300
Angela Elliott	8-(987)770-4075
Janice Shaw	3-(425)673-2591
Barbara Holmes	6-(775)950-0746
Pamela Little	7-(267)977-7584
Doris Hunt	4-(026)126-1783
Helen Morris	6-(083)700-2759
Lisa Hernandez	9-(175)640-7679
Martha Young	9-(400)165-3838
Anne Romero	6-(039)448-1740
Mary Washington	2-(919)844-5186
Andrea Bryant	1-(890)029-0888
Susan Brown	5-(635)561-9913
Sarah Perkins	9-(978)508-8288
Sara Perez	4-(551)398-8788
Betty Hunter	9-(895)433-3178
Mary Coleman	5-(012)712-8381
Christina Fuller	6-(698)831-6166
Sharon Campbell	8-(494)376-0605
Beverly Williamson	9-(685)311-8297
Catherine Dixon	9-(597)820-7731
Paula Stephens	5-(280)520-6931
Robin Lane	2-(449)429-4695
Joyce Sanchez	9-(243)897-5631
Debra Fox	8-(007)875-9669
Elizabeth Young	2-(380)764-7808
Deborah Arnold	3-(252)385-8675
Denise Henry	1-(153)243-7780
Joyce Wood	1-(635)818-8352
Maria Morris	3-(190)620-4652
Lori King	6-(513)640-4741
Amanda Hicks	5-(620)424-1478
Lillian Perez	3-(876)230-5620
Christina Ortiz	0-(303)344-9176
Shirley Ellis	8-(421)016-8892
Mary George	2-(091)865-4250
Lois Collins	4-(784)977-8571
Sarah King	0-(846)018-1321
Tina Fisher	8-(985)312-7374
Jacqueline Ruiz	5-(701)449-3705
Joan Webb	9-(266)422-1758
Beverly Cunningham	4-(579)116-6176
Ann Reyes	3-(341)707-7327
Paula Rose	1-(267)421-4135
Lisa Fowler	3-(783)518-8145
Donna Snyder	4-(858)067-9754
Michelle Jones	8-(512)797-2062
Gloria Banks	8-(380)727-0782
Jane Little	2-(803)112-0902
Sharon Murray	5-(151)365-3389
Lois Kelley	2-(489)366-1196
Norma Murray	9-(220)543-9541
Alice Gonzales	2-(412)183-6723
Heather Burton	7-(236)161-4298
Marie Ruiz	2-(670)973-7189
Michelle Murray	8-(668)693-7070
Bonnie Burke	6-(172)796-7628
Andrea Rivera	3-(158)690-0766
Elizabeth Woods	7-(940)816-1554
Dorothy Burton	9-(321)428-3657
Teresa Bradley	1-(538)995-5586
Carol Ruiz	8-(244)449-3478
Betty Burns	7-(587)097-3724
Denise Boyd	0-(967)149-3743
Amy Reyes	5-(941)545-8677
Nicole Hunt	2-(060)443-5295
Kathryn Hayes	1-(964)268-5962
Mary Rogers	6-(971)722-6413
Kathleen Reid	2-(724)007-1320
Norma Adams	3-(645)651-4478
Janet Welch	4-(520)069-0873
Kathleen Freeman	3-(883)268-8306
Doris Henry	1-(281)314-6451
Michelle Armstrong	0-(178)866-8615
Jacqueline Olson	0-(920)350-9757
Heather Sullivan	5-(977)765-1592
Teresa Cruz	7-(967)066-2849
Kelly Nelson	1-(292)740-3262
Nicole Rose	1-(474)959-1435
Marie Rice	1-(587)810-6338
Martha Ryan	5-(163)024-5562
Judith Griffin	5-(543)124-0702
Marilyn Cunningham	5-(182)383-6518
Ruth Roberts	5-(683)707-8766
Deborah Day	4-(900)324-1849
Phyllis Rice	1-(165)203-0760
Paula Palmer	2-(739)211-2090
Christine Mccoy	5-(656)871-1736
Brenda Hart	1-(864)723-1683
Andrea Wright	3-(953)668-8339
Carol Bishop	1-(530)966-4215
Norma Jordan	7-(482)767-9216
Ruby Ferguson	1-(740)775-0305
Theresa Cole	0-(035)390-3484
Anne Berry	7-(321)249-0628
Barbara Fernandez	5-(192)205-5256
Margaret Austin	0-(010)323-9411
Diane Sanders	1-(619)468-5823
Nicole Peters	6-(593)377-3723
Martha Morris	4-(295)277-0146
Phyllis Crawford	8-(552)585-8778
Judith Phillips	2-(404)350-7839
Kathleen Perez	5-(156)263-3416
Amy Mendoza	6-(659)601-3259
Maria Carr	8-(491)162-4618
Teresa Gonzalez	5-(987)378-8745
Kathryn Cunningham	1-(080)426-6808
Rose Walker	1-(764)124-4449
Anna Price	9-(705)608-6608
Sharon Brooks	2-(880)673-3560
Doris Robertson	8-(518)263-4229
Melissa Ramos	3-(475)307-3143
Pamela Collins	2-(960)347-8762
Joan Carpenter	4-(672)594-8508
Louise Gray	0-(905)658-3868
Kelly Green	5-(581)505-3670
Katherine Brooks	1-(597)476-8775
Debra Perkins	2-(091)704-9229
Robin Foster	5-(188)711-8302
Melissa Alexander	4-(446)186-1477
Lisa Lane	8-(881)067-8331
Ann Cook	2-(380)559-0820
Robin Kelley	5-(871)604-7563
Kimberly Patterson	5-(672)280-0258
Sarah Pierce	9-(918)827-7067
Diana Hall	1-(693)509-9578
Lois Lynch	8-(652)670-4576
Tina Butler	0-(245)125-1032
Betty Hill	1-(195)186-2049
Kathleen Morales	0-(353)390-8796
Debra Berry	0-(520)359-3613
Jennifer Lee	0-(986)852-3739
Norma Cruz	9-(666)904-8269
Sandra Dixon	7-(860)833-7261
Margaret Gonzalez	7-(490)741-9766
Martha Rivera	6-(994)260-4082
Sandra Wheeler	7-(087)172-1651
Ann Gomez	3-(344)120-4119
Mildred Wilson	2-(542)783-3842
Lisa Stone	6-(263)881-2923
Debra Welch	6-(184)056-2338
Sara Hunt	3-(211)387-1367
Judy Murray	1-(970)697-2695
Shirley Ryan	6-(214)378-1061
Laura Holmes	6-(999)938-4208
Patricia Evans	1-(914)989-7244
Amy Flores	8-(465)376-6645
Martha Stevens	5-(461)085-5295
Melissa Robinson	8-(057)686-3253
Catherine Henderson	6-(701)998-8279
Janice Flores	6-(680)974-6885
Julia Wilson	2-(491)459-3537
Dorothy Lawson	5-(087)716-5652
Rose Gonzales	7-(811)054-9327
Melissa Ryan	8-(613)630-3081
Denise Nichols	6-(295)603-5626
Melissa Johnson	6-(550)622-4344
Elizabeth Cook	3-(648)971-0821
Rebecca Henderson	1-(694)252-8673
Emily Arnold	6-(412)549-5026
Doris Mitchell	6-(748)640-8900
Helen Peterson	6-(810)539-5700
Patricia Reyes	2-(704)130-9710
Barbara Fox	3-(051)573-7404
Catherine Hernandez	4-(683)895-3135
Joan Wood	0-(361)059-3032
Margaret White	8-(571)989-6415
Emily Hunt	8-(986)729-7105
Elizabeth Wood	2-(270)620-0417
Marie Jordan	8-(353)102-6003
Deborah Lawson	0-(919)265-9660
Jean Perkins	9-(675)101-5231
Stephanie Gutierrez	5-(725)249-1362
Anna Pierce	3-(751)201-2882
Robin Wilson	5-(453)441-9404
Teresa Davis	7-(630)887-7864
Ashley Owens	1-(323)731-3809
Catherine Henry	3-(957)615-7841
Maria Sims	1-(765)121-0652
Jean West	6-(933)207-4133
Louise Peters	9-(208)334-4814
Irene Wright	9-(433)006-9161
Kathleen Morales	4-(355)835-3184
Diana Carroll	8-(282)354-3264
Wanda Howell	2-(781)828-8211
Sandra Gonzales	7-(577)717-1959
Barbara Foster	0-(802)869-8716
Rachel Mccoy	9-(776)627-8049
Janice Freeman	3-(771)685-6317
Denise Hill	2-(565)914-6870
Judy Spencer	7-(381)172-8255
Rebecca Peterson	2-(639)477-3251
Joan Moreno	7-(258)318-6469
Susan Oliver	0-(001)247-7079
Annie Bradley	6-(735)892-2592
Sharon Davis	2-(576)876-4342
Lisa Oliver	4-(652)284-3026
Christina Morgan	0-(323)253-7987
Carol Riley	8-(239)210-7047
Lori Warren	1-(187)193-5753
Linda Spencer	0-(289)867-1803
Janice Johnston	2-(877)822-9623
Amy Lane	9-(040)609-0191
Marilyn Powell	2-(329)276-8912
Carol Andrews	1-(323)469-5210
Frances Gibson	5-(930)064-4805
Teresa Myers	5-(517)789-3238
Jessica Bell	5-(111)533-5621
Sarah Fuller	0-(573)771-8048
Wanda Washington	5-(782)495-7273
Annie Barnes	8-(509)007-5749
Pamela Wallace	3-(821)043-8414
Carolyn Gonzalez	7-(838)574-3433
Rose Stephens	6-(084)630-1695
Ruby Ruiz	5-(935)430-8673
Kathy Moreno	5-(194)103-8352
Kathy Wood	5-(590)729-5793
Janet Daniels	1-(804)562-8487
Sara Reyes	9-(720)178-5065
Catherine Stephens	5-(067)438-7294
Elizabeth Hunt	6-(450)172-5200
Sarah Myers	2-(207)404-8024
Katherine Hansen	2-(261)431-9480
Rachel Gardner	2-(825)754-9410
Linda Ferguson	9-(123)869-4579
Ruth Baker	8-(464)442-0619
Phyllis Franklin	8-(823)463-5649
Julia Andrews	5-(330)165-8091
Jane Dean	1-(503)555-6895
Ann Cunningham	2-(223)116-4160
Jane Harris	8-(662)082-8147
Nancy Morrison	2-(106)079-3193
Sharon Williams	1-(025)166-9314
Dorothy Alexander	7-(889)032-3934
Jean Dunn	5-(975)472-3882
Kathryn Day	7-(794)135-9657
Catherine James	1-(220)077-4681
Rose Sanchez	5-(244)868-8580
Lisa Hill	8-(880)469-2944
Louise Mills	2-(583)608-1915
Sarah Larson	2-(592)474-8982
Pamela Evans	7-(078)358-6869
Lori Gardner	8-(628)780-9312
Brenda Sims	2-(035)603-1819
Julie Scott	3-(190)991-1110
Angela Torres	5-(403)594-1072
Debra Watkins	6-(418)036-2714
Jessica Austin	5-(436)554-0958
Christine Gray	0-(244)175-5922
Cynthia Snyder	0-(265)822-9029
Shirley Romero	9-(147)754-4261
Alice Cook	2-(427)447-7817
Kathleen Lawson	0-(159)349-8541
Lillian Cole	0-(459)486-4247
Sarah Hart	8-(049)919-4590
Ashley Thomas	3-(717)535-1283
Theresa Edwards	6-(312)631-0185
Ashley Johnson	9-(402)541-1333
Cynthia Reid	8-(623)656-5357
Janice Carr	0-(698)548-7819
Amanda Lane	6-(153)325-4577
Anne Shaw	0-(571)375-1907
Katherine Wells	6-(448)097-0944
Theresa Rivera	9-(359)668-8862
Diana Phillips	9-(647)514-2432
Catherine Hamilton	2-(491)637-2325
Mildred Webb	7-(392)819-5689
Julia Lawrence	6-(753)769-7607
Kelly Jordan	1-(553)638-9354
Irene Rodriguez	0-(005)551-1907
Norma Jordan	1-(210)760-3484
Irene Marshall	3-(712)120-6871
Karen Henry	6-(576)266-4997
Emily Burton	4-(354)552-5558
Michelle Boyd	8-(317)644-6116
Carolyn Barnes	2-(845)575-9893
Sandra Weaver	7-(361)393-4294
Judith Brown	6-(389)679-9558
Susan Oliver	9-(869)220-1014
Debra West	3-(500)487-3144
Norma Hayes	6-(546)425-2450
Virginia Garrett	4-(185)489-7761
Ann Fowler	7-(704)622-0738
Martha Bailey	5-(253)958-0230
Kathryn Kelley	7-(887)582-0544
Lois Fernandez	4-(033)613-2877
Rachel Burns	4-(529)874-6619
Denise Barnes	4-(005)267-5151
Julia Brown	0-(906)610-4620
Sarah Berry	1-(404)177-2177
Sara Hayes	2-(342)611-3959
Maria Romero	0-(380)949-3581
Catherine King	6-(949)979-8937
Heather Reid	3-(519)505-7188
Amanda Roberts	9-(280)105-8211
Kimberly Edwards	5-(873)209-9162
Doris Parker	4-(615)063-8864
Rachel Ramos	9-(277)636-2790
Angela Wright	3-(192)326-7687
Marie Foster	6-(484)450-0132
Sarah Welch	5-(140)518-4487
Dorothy Griffin	1-(693)152-9876
Tammy Mccoy	8-(310)392-0439
Diana Mason	2-(520)429-7945
Janice Wheeler	0-(210)012-1089
Janice Oliver	4-(062)716-3211
Margaret Johnson	7-(186)071-4518
Jessica Ruiz	0-(293)886-4537
Janice Armstrong	3-(417)767-8502
Diana Allen	1-(109)452-9288
Melissa Rice	3-(535)840-8908
Jean Ferguson	8-(106)970-6822
Nicole Daniels	8-(686)341-5453
Virginia Cunningham	1-(662)535-4774
Julie Spencer	1-(759)016-5892
Martha Gilbert	3-(039)528-2046
Pamela Olson	8-(939)826-7914
Wanda Andrews	5-(312)317-5379
Denise Reed	3-(128)749-7092
Louise Hudson	2-(121)386-2495
Heather Flores	3-(909)061-9092
Janet Romero	6-(690)645-7672
Cynthia Rice	7-(892)888-2338
Rebecca Jacobs	0-(905)761-5398
Ann Robertson	4-(111)493-3523
Wanda Montgomery	5-(893)809-2893
Barbara Kim	1-(673)039-7790
Tina Bishop	9-(728)044-6648
Barbara George	1-(583)130-8272
Judy Ross	8-(673)346-6731
Betty Ryan	5-(381)131-3188
Theresa Watkins	4-(337)940-6243
Sara Morales	7-(727)872-0573
Kelly Richardson	0-(175)169-0151
Anna Simpson	4-(941)980-6280
Jean Peterson	7-(022)838-6271
Joyce Hunt	2-(648)450-3441
Evelyn Moore	4-(841)621-1600
Elizabeth Bryant	8-(083)771-9082
Marilyn Meyer	5-(629)749-2169
Diana Mcdonald	9-(938)461-9406
Joan Reyes	8-(888)666-6575
Maria Arnold	1-(652)773-8487
Andrea Palmer	2-(696)255-8578
Kimberly Long	9-(057)051-5154
Anna King	5-(252)569-8990
Angela Griffin	4-(854)610-4128
Carolyn Jacobs	8-(635)537-4580
Mary Andrews	3-(312)295-6553
Julie Kim	5-(028)382-3169
Jessica Carpenter	9-(459)500-1631
Andrea Edwards	0-(510)759-9274
Ashley Jacobs	7-(504)973-9628
Jessica Patterson	4-(858)305-8605
Linda Fisher	4-(867)482-2775
Heather Harper	9-(518)965-0474
Angela Webb	5-(334)414-3953
Kelly Bowman	2-(443)946-4752
Jane Ward	0-(034)968-6293
Christina Morales	8-(979)175-7031
Laura Hawkins	8-(301)023-7056
Lisa Cruz	2-(126)706-9458
Martha Rodriguez	0-(652)059-0886
Irene Bowman	5-(813)978-7527
Frances Pierce	2-(149)548-3515
Lois Crawford	8-(850)698-9821
Gloria Gomez	3-(506)771-8026
Ruth Bennett	2-(314)169-4706
Carolyn Nichols	0-(431)786-5219
Denise Henderson	0-(512)178-0444
Cynthia Knight	1-(450)241-9345
Elizabeth Hamilton	8-(112)051-1419
Catherine Brown	2-(236)874-2819
Lois Garrett	7-(334)023-8765
Sharon Green	3-(798)468-8764
Martha Hayes	6-(031)873-0553
Tina Castillo	3-(817)217-3888
Lillian Lopez	6-(687)793-2261
Irene Payne	0-(303)698-2842
Beverly Graham	2-(954)106-6304
Marilyn James	2-(828)013-3335
Jacqueline Thomas	3-(876)503-2660
Kathryn Fuller	3-(148)329-9740
Paula Carroll	9-(750)608-1610
Ashley Harris	3-(008)624-1110
Annie Knight	3-(717)767-8473
Kathryn Harper	5-(942)585-8478
Donna Grant	1-(464)119-4737
Lillian Peters	1-(734)091-4418
Diana Bishop	0-(112)265-3699
Betty Kelly	1-(559)722-4033
Gloria Morales	5-(112)688-7636
Norma West	1-(678)190-8413
Carol Fields	1-(293)566-4680
Melissa Nguyen	2-(790)201-7698
Christine Anderson	3-(146)275-5834
Lillian Burns	7-(227)006-9357
Diane George	6-(598)190-2190
Rose Moore	4-(409)153-8233
Andrea Williams	4-(152)710-7235
Katherine Snyder	9-(249)893-6368
Joyce Payne	7-(506)777-7208
Kathy Brown	3-(025)370-0222
Lillian Martinez	3-(695)477-5190
Lois Ruiz	3-(686)372-5120
Carolyn Bishop	6-(406)801-7348
Julie Perry	4-(465)088-8475
Janice Taylor	6-(124)687-2896
Linda Schmidt	5-(020)628-2492
Kathy Stewart	5-(332)362-9616
Judy Butler	5-(345)704-4302
Phyllis Diaz	2-(007)038-9799
Sarah Walker	3-(060)782-5517
Stephanie Adams	2-(265)107-1705
Kathryn Smith	1-(512)528-3563
Judith Williams	3-(290)624-8821
Ruby King	4-(268)696-1650
Mildred Reyes	0-(511)450-4022
Rachel Mcdonald	0-(301)616-5313
Anne Richardson	5-(599)215-0693
Lois Lopez	7-(866)334-6243
Cheryl Miller	4-(570)581-6975
Andrea Thomas	5-(594)410-0164
Donna Johnson	3-(518)340-7138
Christina Gonzalez	1-(811)082-8196
Christina Mccoy	8-(860)799-8939
Evelyn Lewis	7-(539)951-9035
Marie Anderson	5-(626)157-1205
Jennifer Morrison	2-(961)965-1655
Deborah Kelly	5-(270)257-3740
Julia Wilson	0-(125)700-9592
Rose Simpson	5-(011)750-3385
Mildred Weaver	8-(334)564-0381
Kathy Woods	4-(873)515-3787
Jessica Perry	5-(008)051-7643
Theresa Gray	7-(925)092-6189
Maria Wells	9-(624)416-5727
Kathleen Long	4-(995)982-1546
Tina Cox	1-(677)424-5887
Diane Jones	9-(401)618-4666
Shirley Hunt	0-(502)865-3759
Dorothy Austin	3-(891)764-7297
Kelly Powell	1-(923)454-4669
Jacqueline Howell	5-(365)149-9964
Lisa Greene	1-(410)425-0250
Lisa Jacobs	6-(383)553-5399
Denise Ortiz	9-(397)973-5022
Andrea Harrison	7-(823)825-8398
Karen Franklin	9-(792)204-2416
Norma Lynch	2-(164)021-4081
Emily Meyer	6-(969)434-4128
Pamela Ruiz	2-(669)651-8684
Lisa Cooper	9-(492)290-3380
Beverly Castillo	0-(130)072-3109
Ruby Patterson	1-(291)984-3128
Bonnie Tucker	4-(572)280-8447
Brenda Lynch	8-(196)845-6668
Beverly Gordon	2-(372)833-4309
Rebecca Johnston	4-(142)229-7897
Paula Bryant	3-(235)552-4179
Ashley Jacobs	1-(510)476-2832
Sandra Baker	6-(343)049-0765
Diana Davis	1-(458)034-0534
Anne Richardson	3-(562)646-5636
Lisa Wilson	3-(634)396-0083
Louise Robertson	2-(032)887-0872
Emily James	2-(948)914-0973
Phyllis Peterson	7-(911)695-3691
Catherine Sanchez	3-(875)757-9279
Nicole Gardner	8-(101)708-9926
Stephanie Mills	6-(730)028-9698
Joan Carr	1-(420)466-2680
Paula Harris	0-(138)523-3579
Shirley Moore	2-(503)649-7911
Catherine Sanchez	2-(130)888-9681
Diana Adams	2-(573)983-7533
Rose Gordon	1-(743)563-7420
Amanda Watkins	1-(190)529-1692
Jessica Rodriguez	1-(459)927-9882
Margaret Sanders	1-(373)633-6745
Anne Edwards	3-(520)923-0562
Denise Berry	0-(362)434-2071
Frances West	3-(162)509-8411
Lisa Daniels	1-(796)959-1450
Heather Cunningham	9-(537)039-9850
Judith Johnson	3-(652)575-0977
Deborah Vasquez	4-(967)685-7199
Sarah Morris	9-(520)461-5031
Carolyn Stephens	0-(775)286-4095
Julie Evans	7-(038)459-5683
Laura Davis	7-(327)065-8134
Lillian Daniels	6-(984)323-2021
Shirley Murphy	5-(543)529-1859
Diane Medina	2-(072)906-7298
Martha Hudson	8-(508)011-6099
Stephanie Burton	0-(566)048-8742
Ann Ford	7-(285)894-5311
Annie Nelson	1-(013)087-0342
