Alice Walker	5-(786)140-3346
Tina Nguyen	1-(841)053-1523
Judith Reid	7-(621)335-7615
Melissa Gonzalez	2-(114)213-5566
Annie Hughes	2-(718)764-0230
Angela Washington	3-(833)343-4179
Marie Carroll	7-(422)784-4587
Beverly Jordan	9-(200)778-0166
Kathy Taylor	5-(298)897-4908
Carol Watson	1-(279)625-1553
Catherine Thomas	1-(840)741-0544
Joyce Brooks	8-(450)524-8722
Jacqueline Hunt	8-(689)206-3908
Kathryn Simmons	1-(731)774-3889
Catherine James	2-(989)289-9553
Robin Black	7-(038)475-2962
Joan Brown	0-(626)671-6784
Ann Bell	9-(348)888-4738
Maria Bell	4-(991)746-5404
Margaret Johnston	7-(372)697-6279
Judith Sullivan	9-(772)261-1037
Shirley Hart	5-(663)957-6190
Sarah Olson	3-(760)736-7715
Ann Warren	6-(206)711-0372
Jessica Morrison	3-(404)715-1560
Barbara Harper	0-(770)102-1129
Janice Gonzales	3-(683)649-0555
Lois Ellis	0-(300)945-1066
Angela Duncan	7-(758)023-8426
Linda Richards	2-(252)908-9350
Laura Butler	8-(053)698-1761
Angela Dixon	9-(978)368-6797
Nancy Rodriguez	3-(088)296-1425
Mary Elliott	8-(903)170-9371
Kelly Andrews	0-(463)026-4942
Frances Lawrence	3-(679)019-8106
Melissa Hansen	9-(525)631-1211
Stephanie Cruz	3-(290)292-5115
Alice Howard	9-(403)392-0926
Christina Jacobs	2-(003)928-8227
Irene Hall	0-(103)821-4294
Barbara Jones	8-(640)111-6000
Joan Woods	3-(670)343-3809
Teresa Brooks	9-(486)121-9452
Teresa Phillips	1-(370)743-8323
Emily Wells	0-(347)155-0365
Tammy Sims	0-(832)471-6577
Carolyn Kelly	5-(708)106-1021
Marie Burke	4-(700)490-5766
Teresa Anderson	4-(163)468-3822
Ruth Gutierrez	1-(827)476-4386
Amy Ward	9-(931)152-2521
Sharon Andrews	6-(530)743-4115
Cynthia Dean	4-(979)582-1452
Louise Kelly	3-(738)606-4973
Susan Evans	6-(486)066-9834
Frances Collins	9-(023)479-4694
Paula Fox	1-(350)998-0504
Shirley Arnold	5-(924)010-7113
Emily George	2-(343)638-9453
Phyllis Rogers	1-(308)375-9991
Theresa Walker	4-(125)611-7264
Brenda Reid	8-(293)085-4182
Julie Montgomery	8-(385)639-6096
Joan Tucker	0-(242)262-5283
Ruth Berry	6-(874)196-4588
Doris Hernandez	8-(555)708-4377
Linda Johnson	5-(164)325-2464
Gloria Montgomery	8-(651)096-9377
Betty Welch	8-(079)756-7440
Anne Snyder	4-(964)100-9022
Sara Robinson	7-(117)097-6324
Tina Hunter	7-(084)661-0066
Doris Lawson	0-(340)788-2676
Evelyn Evans	1-(032)586-9532
Amy Brooks	0-(518)105-8835
Robin Garza	8-(467)028-3629
Deborah Bailey	8-(334)248-8143
Louise Scott	8-(105)213-5880
Denise Bradley	0-(657)837-9117
Karen Shaw	0-(718)638-1874
Barbara Henderson	2-(859)343-7606
Maria Garcia	2-(403)861-6689
Cheryl Romero	7-(397)202-9178
Beverly Watkins	8-(980)302-3519
Rachel Lawrence	4-(249)197-6793
Joyce Henry	9-(124)907-2116
Helen Mcdonald	6-(410)030-3212
Elizabeth Washington	5-(672)919-9455
Norma Watson	3-(897)826-0768
Wanda Wallace	7-(382)665-3816
Melissa Richards	3-(498)518-8461
Lois Nichols	9-(397)145-6801
Pamela Richards	5-(380)940-4717
Angela Moore	0-(248)628-5162
Ashley Frazier	3-(240)336-3474
Shirley Wheeler	5-(998)234-0923
Shirley Anderson	5-(337)752-0125
Judith Davis	5-(823)136-6213
Evelyn Russell	8-(397)341-8867
Catherine Anderson	9-(733)305-3384
Wanda Moore	5-(832)189-0257
Marie Reid	6-(971)720-0688
Emily Burke	5-(331)863-6924
Margaret Romero	0-(469)399-4260
Sandra Hunter	8-(554)644-5494
Frances Holmes	6-(640)511-5114
Susan Perez	6-(736)528-9329
Melissa Cunningham	1-(128)704-1496
Sarah Pierce	7-(352)208-0056
Phyllis Wagner	0-(369)158-4969
Frances Williamson	2-(953)095-4105
Marilyn Burton	7-(306)789-2508
Judy Bell	8-(101)052-2909
Linda Larson	3-(386)030-4668
Annie Stewart	8-(541)341-7467
Michelle Bailey	5-(403)326-1702
Evelyn Evans	5-(446)748-6408
Lillian Ortiz	2-(172)833-2874
Kathleen Montgomery	1-(688)368-5842
Sara Chapman	3-(126)754-2042
Teresa Matthews	6-(494)646-4647
Pamela Kelley	2-(515)932-2761
Elizabeth Thompson	1-(820)073-1157
Andrea Jackson	6-(273)806-8256
Margaret Taylor	3-(330)559-5958
Lillian Rogers	1-(573)190-4494
Maria Martin	7-(268)454-8554
Jacqueline Wilson	5-(341)504-3691
Teresa Turner	1-(247)973-2368
Michelle James	7-(537)433-5867
Norma Reid	5-(904)292-3224
Tina Gibson	9-(968)325-2490
Martha Diaz	3-(519)843-9181
Margaret Castillo	3-(130)505-9118
Brenda Jenkins	3-(802)292-3443
Rachel Roberts	4-(715)133-5973
Cheryl Rogers	0-(698)215-4039
Catherine Thomas	5-(891)482-9707
Andrea Carpenter	4-(380)177-9609
Catherine Butler	2-(298)572-6634
Janet Stewart	9-(623)315-9447
Jessica Arnold	2-(324)718-5599
Amanda Jenkins	1-(975)211-6009
Annie Griffin	1-(063)304-6804
Ann Porter	0-(364)074-2978
Stephanie Dixon	1-(912)312-3289
Karen Lawson	5-(267)853-8132
Julia Simpson	4-(094)082-6006
Annie Flores	8-(181)887-5417
Kathleen Gutierrez	2-(859)421-5481
Wanda Howard	7-(495)498-5459
Melissa Riley	4-(760)207-3536
Cynthia Hall	1-(975)747-9569
Helen Foster	8-(763)164-8231
Beverly Gibson	8-(016)137-7482
Norma Robinson	8-(581)331-2624
Linda Kelley	7-(459)969-5132
Alice Gomez	9-(089)197-3729
Kathryn Ortiz	0-(951)141-2594
Norma Murphy	8-(915)918-3209
Kimberly Johnson	9-(315)731-2223
Betty Bishop	6-(908)073-4970
Virginia Richards	6-(630)141-6426
Stephanie Sanchez	4-(468)836-8144
Evelyn Harris	2-(480)805-6842
Tina Cook	2-(146)103-5422
Janice Pierce	2-(497)539-2115
Sarah Baker	1-(610)723-7640
Janet Pierce	2-(450)992-6630
Denise Palmer	9-(374)390-4604
Kathy Boyd	8-(622)545-6991
Jacqueline Morris	2-(172)837-6144
Mildred Ellis	1-(842)853-7131
Emily Tucker	5-(384)192-0969
Cheryl Banks	1-(180)594-1937
Gloria Ramos	9-(280)246-1820
Phyllis Mills	4-(877)919-7822
Alice Garrett	9-(895)792-8660
Judith Riley	9-(080)180-9706
Cheryl Fernandez	0-(941)198-8642
Rose Lee	2-(347)890-2895
Judith Ryan	8-(134)352-8829
Robin Kelley	4-(344)592-2929
Debra Kennedy	9-(883)104-7853
Emily Mcdonald	3-(086)104-8147
Julie Howell	1-(517)963-1390
Christine George	1-(358)833-7298
Anne Matthews	9-(660)581-5937
Stephanie Mason	3-(609)835-6043
Teresa George	7-(559)885-3302
Diane Bryant	2-(219)446-0173
Pamela Brown	4-(776)403-4995
Theresa Rose	7-(022)272-1080
Denise Wood	3-(821)448-8675
Nancy Evans	5-(438)739-7678
Janet Andrews	3-(533)505-4936
Bonnie Rogers	8-(494)865-0746
Kathleen Marshall	5-(370)224-5780
Lois Diaz	4-(715)419-6597
Deborah West	0-(719)405-3654
Deborah Gilbert	0-(096)911-1020
Dorothy Hansen	3-(840)039-9172
Sara Ruiz	0-(796)568-4150
Judy Collins	5-(878)510-9867
Rebecca Griffin	5-(052)331-2442
Jane Riley	0-(160)788-0561
Emily Brooks	3-(483)959-6702
Marilyn Sims	7-(910)110-5063
Theresa Porter	1-(982)277-6050
Phyllis Reed	1-(762)858-0228
Nicole Boyd	6-(589)324-6483
Amy Lee	9-(042)855-7029
Kelly Cunningham	4-(646)632-9769
Emily Parker	7-(389)024-8698
Judy Ward	4-(441)378-3548
Ashley Washington	1-(746)892-1377
Elizabeth Evans	4-(086)976-4575
Deborah Fowler	1-(405)008-0139
Mildred Lane	5-(178)790-1181
Elizabeth Wilson	1-(122)196-9567
Doris Lewis	2-(983)061-0596
Linda Olson	1-(544)709-8298
Patricia Allen	1-(102)400-8763
Nicole Hansen	8-(907)343-2291
Nancy Edwards	1-(558)440-5388
Frances Hart	7-(680)235-4943
Heather Ferguson	7-(204)765-7704
Donna Hughes	7-(166)626-9142
Carolyn Ray	4-(471)366-8512
Catherine Cox	8-(343)464-0650
Robin Mitchell	1-(929)876-5085
Sharon Reed	6-(644)571-2722
Linda Anderson	9-(224)209-4256
Jane Burke	3-(619)082-4533
Jacqueline Hicks	8-(740)593-0281
Kimberly Fisher	6-(748)463-2412
Teresa Daniels	3-(135)477-9201
Anna Richards	3-(841)183-7377
Diane Carroll	5-(750)236-9281
Janet Perkins	5-(431)827-3957
Catherine Palmer	6-(048)052-8153
Andrea Brooks	4-(238)477-4833
Nancy Payne	8-(877)097-3103
Martha Coleman	5-(017)207-0126
Gloria Martinez	3-(724)356-0062
Kimberly Burns	9-(946)890-4284
Martha Gomez	8-(378)586-3144
Melissa Bowman	2-(594)610-1097
Laura Simpson	3-(747)757-1451
Elizabeth Ramirez	3-(262)278-2524
Jane Montgomery	4-(264)061-3173
Karen Berry	1-(678)149-8251
Maria Romero	9-(934)181-5471
Christina Woods	2-(719)109-5484
Theresa Webb	1-(663)931-2690
Laura Gomez	9-(855)735-4370
Alice Porter	5-(555)811-6688
Bonnie Henderson	6-(516)151-4236
Lois Carter	4-(598)957-7514
Catherine Moore	5-(305)083-7171
Diane Pierce	4-(475)430-1472
Jessica Wells	1-(363)863-0049
Denise Nelson	1-(766)716-9815
Laura Ramos	5-(657)123-2668
Linda Ramirez	5-(703)780-2645
Dorothy Rose	9-(854)395-2539
Julie Garcia	2-(428)148-6118
Rebecca Elliott	3-(848)896-9238
Norma Turner	7-(827)987-8976
Denise Fox	1-(134)971-5263
Joyce Welch	6-(453)738-7591
Nicole Jenkins	5-(937)799-6824
Gloria Grant	2-(453)037-1369
Theresa Matthews	4-(821)723-4960
Margaret Hayes	1-(137)193-6393
Susan Howell	3-(048)934-7656
Catherine Cox	8-(321)549-5226
Susan Sanders	4-(771)097-9816
Patricia Stewart	8-(720)183-7631
Donna Hudson	3-(363)865-2309
Jean Ellis	4-(319)107-2115
Robin Hanson	0-(705)262-7803
Kathleen Parker	2-(773)138-5024
Alice Stone	4-(079)304-1729
Jane Murphy	6-(812)320-9161
Kathy Coleman	6-(217)844-9537
Laura West	8-(742)914-3056
Janet Foster	5-(951)477-3058
Janet Griffin	2-(910)250-5809
Dorothy Sanchez	6-(129)686-2214
Mary Walker	5-(719)623-6446
Carol Montgomery	7-(489)311-0318
Ruby Berry	4-(895)339-7110
Rose Murphy	8-(431)493-3336
Lois Garza	5-(044)615-1600
Michelle Chavez	5-(184)796-5974
Wanda Mendoza	2-(018)681-3983
Ruth Holmes	3-(736)666-9534
Sandra Hayes	9-(007)751-1690
Joan Gibson	9-(285)864-8534
Cheryl Stewart	1-(344)204-2858
Virginia Clark	6-(351)101-6225
Tina Murphy	6-(205)102-6539
Jean Flores	0-(174)062-0547
Gloria Lee	0-(891)101-2762
Barbara Miller	5-(245)755-0559
Anne Lynch	4-(177)111-6263
Ruth Ward	8-(958)361-6456
Mary Nguyen	0-(685)023-4476
Debra Fox	6-(395)010-5309
Jessica Lawson	9-(255)309-8402
Joyce Martinez	5-(888)311-0275
Cheryl Romero	4-(596)618-2750
Jean Carr	6-(616)977-8162
Evelyn Vasquez	6-(556)805-9303
Irene Banks	1-(846)128-7859
Angela Brooks	9-(537)563-2408
Shirley Garcia	3-(710)106-8802
Denise Phillips	7-(991)573-9664
Evelyn Reed	7-(377)134-9376
Margaret Ramirez	6-(568)451-4598
Rebecca Black	5-(226)043-5186
Virginia Chapman	9-(282)073-9710
Irene Gonzales	3-(173)376-7374
Rose Torres	7-(749)852-2584
Donna Bell	2-(741)297-7116
Lois Myers	9-(500)266-5189
Diane Franklin	5-(422)886-6716
Lisa Weaver	1-(072)751-3107
Sara Medina	9-(021)368-5098
Kathy Price	4-(259)906-8207
Rachel Price	6-(109)803-6643
Paula Chapman	2-(169)286-0776
Bonnie Powell	5-(335)293-7060
Ruby Bowman	9-(691)347-3138
Mildred Bowman	7-(750)255-9205
Mary White	5-(144)278-7717
Dorothy Nichols	9-(008)170-5540
Paula Edwards	2-(492)613-3226
Dorothy Walker	1-(278)365-3143
Joyce Olson	2-(215)227-3046
Diana Perry	9-(736)310-0310
Doris Daniels	7-(894)550-7736
Deborah Duncan	6-(472)796-4354
Patricia Griffin	8-(985)209-1237
Anna Lopez	1-(341)248-1563
Nancy Taylor	9-(138)664-1608
Janice Murray	6-(177)530-4910
Angela Fox	9-(149)194-0722
Karen Mason	0-(877)049-4513
Tina Ramos	1-(388)274-7602
Brenda Thompson	9-(337)011-9144
Jean Wood	3-(680)671-8886
Jean Woods	6-(165)822-8207
Robin Castillo	2-(719)333-5611
Dorothy Jackson	5-(114)670-0142
Dorothy White	1-(087)857-2440
Jessica Webb	9-(501)336-5075
Lillian Fox	5-(724)658-6820
Ashley Gonzalez	4-(282)731-3981
Kathryn Owens	7-(972)054-2284
Janet Lawrence	6-(510)986-6034
Rebecca Turner	8-(304)822-0726
Denise Carr	0-(335)387-4733
Beverly Welch	3-(464)093-2865
Ruby Burke	3-(177)057-0895
Barbara Lane	1-(775)416-5036
Frances Fuller	5-(517)798-4331
Jessica Cole	6-(726)896-5335
Emily Alvarez	6-(708)483-8675
Sarah Lynch	8-(810)071-3943
Martha Price	7-(516)654-2918
Joan Reynolds	4-(549)989-4990
Ruby Powell	5-(206)977-3689
Judith Weaver	3-(743)217-6827
Phyllis Rogers	4-(577)968-0351
Christina Olson	1-(223)734-1610
Lori Fox	1-(045)752-7719
Lisa Phillips	8-(137)004-6809
Deborah Bennett	8-(980)863-6306
Carol Stephens	8-(248)207-2632
Bonnie Austin	0-(287)110-0040
Lois Butler	2-(386)791-0837
Rebecca Welch	4-(104)981-4952
Julia Larson	1-(419)763-0607
Doris Cox	5-(931)070-3611
Joan Smith	0-(935)918-8813
Jessica King	2-(330)503-9071
Donna Stanley	0-(257)147-6554
Brenda Stevens	4-(098)831-7894
Frances Jacobs	1-(251)784-6035
Kathryn Carpenter	1-(763)691-6238
Betty Foster	4-(510)948-5091
Amanda Castillo	6-(253)724-3365
Cynthia Taylor	5-(141)248-7732
Cynthia Owens	2-(343)444-4631
Marie Allen	9-(680)562-1642
Elizabeth Hayes	7-(458)818-2393
Rebecca Patterson	5-(108)526-2525
Dorothy Brooks	4-(100)479-0410
Martha Wheeler	5-(984)400-0820
Diana Williams	6-(144)765-6415
Christina Perry	4-(820)074-3178
Gloria Fisher	2-(626)159-7205
Linda Ford	4-(530)022-1648
Lillian Garcia	9-(552)184-0501
Joyce Little	9-(427)535-6170
Debra Fields	2-(541)389-2089
Evelyn Hill	3-(327)979-4970
Amanda Snyder	3-(031)779-3047
Phyllis Cunningham	8-(993)449-3781
Patricia Carr	9-(877)183-7838
Jane Stanley	7-(271)583-5555
Karen Cooper	6-(095)199-9165
Beverly Coleman	8-(311)211-4647
Susan Fuller	6-(175)379-1516
Ashley King	3-(989)497-4333
Diane Berry	1-(247)498-4790
Angela Fuller	3-(161)553-5109
Pamela Roberts	5-(290)262-5988
Joyce Ross	6-(824)341-8790
Denise Martin	5-(989)740-5250
Jean Ortiz	3-(096)363-3495
Pamela Jackson	9-(236)518-5695
Michelle Hicks	5-(527)360-9554
Deborah Carr	8-(629)080-5243
Joan Mitchell	2-(094)645-7992
Patricia Cole	3-(540)330-5408
Gloria Powell	1-(626)580-4460
Carolyn Dean	1-(409)126-0238
Catherine Gutierrez	1-(683)780-8071
Sandra Castillo	5-(154)258-0845
Deborah Stone	9-(182)225-3237
Ruth Ford	4-(000)028-7939
Anna Morrison	8-(210)707-6496
Denise Reynolds	6-(718)175-9503
Patricia Mccoy	3-(400)919-6256
Pamela Carter	8-(887)383-1527
Louise Williamson	5-(852)648-2115
Kelly Watkins	3-(305)650-7670
Alice Brown	3-(454)153-4145
Michelle Sullivan	5-(530)125-7883
Lillian Hudson	4-(569)733-8055
Rachel Hamilton	6-(666)677-0602
Sandra Ortiz	3-(251)398-2315
Ruth Morrison	5-(679)048-1137
Denise Thomas	2-(212)477-3230
Jacqueline Reyes	9-(029)605-3499
Stephanie Cunningham	7-(172)703-9351
Jennifer Hughes	0-(971)824-9558
Nicole Andrews	4-(762)350-9369
Nicole Murray	9-(965)709-3844
Judy Porter	1-(549)515-7024
Joan Romero	8-(669)602-2297
Margaret Welch	7-(629)408-2503
Emily Butler	3-(289)802-4218
Sara Sims	1-(676)958-3597
Jessica Flores	0-(434)254-8914
Kathleen Stephens	7-(759)193-9601
Margaret Howard	4-(193)259-0323
Dorothy Boyd	8-(889)521-7626
Denise Scott	8-(726)900-3156
Lois Parker	5-(733)276-8734
Sarah Reid	9-(671)198-0386
Ruby Ramirez	8-(927)724-5402
Judy Ruiz	1-(701)684-9986
Karen Phillips	1-(871)587-7542
Melissa Lawson	1-(757)709-0566
Melissa Holmes	8-(971)137-1900
Sandra Martin	2-(227)410-4047
Emily Martinez	4-(197)259-1983
Donna Howard	5-(853)306-9647
Jane Reid	5-(805)538-0520
Lori Williams	8-(474)013-4259
Angela Evans	4-(094)280-8240
Wanda Alvarez	4-(026)411-1096
Ann George	9-(120)952-9978
Wanda Scott	8-(323)762-1945
Alice Richards	7-(011)506-9867
Tina Welch	9-(753)043-6321
Sara Alvarez	2-(791)194-8384
Martha Wagner	3-(273)213-1822
Gloria Cox	9-(305)092-6802
Laura Johnson	5-(364)554-9954
Elizabeth Torres	0-(915)917-9984
Bonnie Wheeler	7-(710)314-5833
Jessica Cruz	4-(195)147-0649
Christina Crawford	0-(781)150-3773
Anna Watkins	5-(434)271-3768
Ashley Hunter	5-(084)504-2667
Beverly Jacobs	4-(710)745-8198
Irene Wilson	0-(856)668-4883
Jessica Porter	3-(823)803-5903
Deborah Bryant	0-(669)508-0985
Janice Flores	6-(381)433-1357
Annie Wright	6-(947)268-5482
Anna Watkins	5-(639)870-5539
Lisa Hawkins	4-(081)828-1567
Elizabeth Willis	6-(848)577-4201
Jean Arnold	6-(232)645-2619
Christina Kelly	3-(211)522-0550
Tammy Ford	5-(798)550-8159
Paula Ellis	2-(425)640-3330
Louise Cole	0-(608)492-2051
Michelle Carpenter	0-(619)882-2690
Maria Chapman	2-(114)094-1196
Lois Alexander	4-(596)790-0681
Stephanie Mills	4-(467)928-9194
Julie Robinson	0-(525)130-7789
Irene Jones	0-(164)110-8742
Cheryl Harrison	3-(662)416-5823
Ruth Wright	7-(379)926-4481
Joan Lynch	1-(095)043-2560
Emily Hill	1-(761)911-9576
Brenda Rogers	0-(591)284-0835
Denise Johnston	0-(504)807-3241
Deborah Hudson	0-(032)753-9003
Nancy Gray	7-(851)718-0338
Janice Taylor	3-(489)331-0218
Amanda Hunt	7-(408)073-6477
Sarah Richardson	6-(897)545-1438
Gloria Stanley	5-(453)231-0142
Cheryl Reed	8-(033)808-9771
Margaret Kim	0-(814)356-0384
Sarah Morgan	4-(791)571-8852
Nicole Jacobs	6-(472)365-2389
Pamela Burns	9-(929)965-3715
Nancy Brooks	2-(839)152-5499
Cheryl Powell	0-(116)138-1313
Lisa Lynch	2-(126)308-7382
Irene Ford	2-(660)310-3275
Nancy Roberts	8-(402)086-8133
Nancy Moreno	0-(123)308-0880
Rose Hicks	0-(402)866-2964
Kimberly Carpenter	8-(854)209-9490
Paula Hansen	9-(024)004-9420
Jessica Carter	0-(339)752-8221
Julie Bennett	2-(393)364-5722
Ruth Butler	2-(787)719-1863
Paula Gardner	7-(430)285-1199
Dorothy Ortiz	3-(932)408-3785
Pamela Sullivan	5-(583)069-1283
Joan Banks	4-(768)883-7276
Joyce Diaz	7-(414)860-3867
Alice Bowman	9-(303)549-7266
Robin Ferguson	6-(443)077-5766
Jessica Hansen	4-(337)487-1707
Rebecca Griffin	7-(487)737-5096
Bonnie Sims	0-(499)207-2117
Sarah Hart	3-(828)940-2050
Debra Lane	0-(638)885-7351
Sarah Torres	8-(483)825-3614
Helen Phillips	7-(008)083-6374
Julie Stewart	5-(827)531-2377
Amy Smith	8-(265)113-6525
Nancy Rodriguez	5-(382)097-7874
Anna Watkins	4-(693)875-6382
Christina Smith	1-(369)347-4271
Catherine Shaw	7-(083)821-9924
Sharon Wright	5-(118)828-0307
Lillian Austin	0-(585)808-2716
Mildred Ruiz	6-(203)741-9885
Norma Brooks	2-(712)102-4044
Anne Elliott	5-(891)860-0046
Annie Oliver	8-(334)477-3726
Janice Green	0-(310)435-1229
Mary Parker	0-(746)276-3760
Gloria Ortiz	0-(674)809-3736
Mary Gardner	6-(834)485-9304
Margaret Cole	3-(726)069-0197
Christina Evans	5-(711)523-9762
Tina Alvarez	1-(468)093-6273
Diane Reyes	8-(005)804-6316
Sarah Baker	1-(739)966-3907
Kathleen Roberts	8-(914)469-8527
Amanda Mendoza	8-(706)806-4554
Marie Gilbert	8-(397)451-2009
Michelle Andrews	1-(345)711-5740
Laura Hicks	1-(841)954-3600
Cheryl Cooper	6-(817)848-1754
Patricia Cruz	6-(482)012-7391
Paula Williamson	2-(431)136-7080
Kathleen Bradley	4-(605)120-9738
Denise Ray	9-(458)075-7463
Annie Ryan	6-(773)127-1462
Debra Cunningham	5-(765)693-9122
Mary Collins	7-(831)387-5842
Kelly Sanchez	7-(154)619-5736
Sandra Kim	2-(673)568-5082
Michelle Spencer	4-(989)355-4646
Donna Lewis	6-(150)050-1369
Angela Owens	3-(621)826-8955
Maria Woods	0-(595)926-2109
Jacqueline Peters	7-(913)511-8259
Carolyn Austin	2-(109)290-1181
Sarah Harrison	5-(291)283-4196
Rachel Fisher	5-(380)380-8645
Donna Hicks	7-(497)654-8807
Patricia Snyder	9-(844)390-6383
Christine Brooks	3-(078)078-6006
Helen Williams	8-(292)005-3060
Rachel Hunter	5-(140)309-9334
Sara Griffin	3-(214)026-8413
Anna Hanson	6-(442)320-0026
Emily Weaver	9-(341)370-0835
Katherine Graham	8-(200)747-7092
Annie Moreno	2-(858)799-0451
Judith Howell	6-(898)474-2240
Teresa Morrison	2-(360)569-6373
Mildred Rivera	5-(783)150-2782
Beverly Walker	9-(988)417-6549
Carolyn Hicks	1-(664)822-7590
Christine Coleman	1-(845)786-5037
Margaret Grant	3-(000)583-1508
Emily Harrison	0-(548)992-0360
Ashley Black	4-(250)977-7629
Diana Dixon	9-(606)707-0315
Tammy Clark	5-(138)212-8188
Sharon Patterson	1-(625)955-2053
Lois Phillips	7-(375)458-0952
Sharon Fernandez	2-(983)217-1203
Phyllis Crawford	4-(248)153-4943
Emily Warren	0-(674)192-1224
Margaret Mccoy	3-(416)760-5392
Julie Gray	0-(747)119-4244
Joyce Hall	8-(152)569-8977
Sara Johnson	3-(064)888-3065
Sarah Simpson	5-(843)235-7105
Ruby Reed	0-(350)991-7739
Theresa Holmes	2-(319)887-8966
Deborah Flores	3-(666)030-5916
Sara Reyes	6-(875)798-9555
Frances Oliver	8-(079)853-7856
Kelly Powell	9-(065)635-6748
Laura Carpenter	4-(885)495-8123
Marie Little	5-(537)275-0018
Lillian Long	1-(458)086-5621
Jacqueline Vasquez	3-(714)858-4184
Ruby Castillo	7-(561)691-5520
Maria Hunter	3-(059)928-6977
Norma Stanley	6-(670)599-8084
Nicole Phillips	6-(075)993-1126
Marilyn Austin	8-(082)975-0394
Christine Hart	8-(857)091-8051
Sara Hicks	5-(366)932-3807
Julia Wells	9-(037)151-8958
Heather Moore	7-(757)167-3053
Sara Chavez	9-(734)947-2998
Jacqueline Evans	2-(548)409-5709
Lillian Woods	4-(378)909-8906
Doris Murphy	1-(027)017-9500
Marie Edwards	9-(212)286-6559
Nancy George	9-(704)576-4438
Theresa Oliver	0-(115)617-3852
Diana Foster	7-(048)470-9699
Cheryl Hamilton	8-(816)689-3206
Carol Burke	2-(396)213-5648
Janice Howard	0-(496)778-2395
Paula Robertson	4-(451)945-1941
Jessica Carr	0-(337)097-3070
Doris Daniels	1-(586)754-2286
Carolyn Fuller	4-(847)703-0892
Jacqueline Hanson	6-(676)892-0834
Amy Holmes	9-(163)324-7216
Michelle Morris	8-(946)615-7999
Marie Vasquez	8-(118)803-8207
Cynthia Rogers	4-(860)714-8105
Katherine Williamson	5-(653)828-1047
Julie James	8-(745)424-6840
Sandra Hansen	5-(775)809-0503
Sharon Morales	0-(988)669-3669
Sarah Webb	6-(961)988-8278
Gloria Smith	4-(464)009-4873
Brenda Stanley	0-(179)376-1052
Gloria White	0-(446)340-5836
Robin Hughes	0-(461)045-3804
Susan Lee	6-(710)497-3630
Mary Rivera	1-(906)742-2029
Norma Hunter	7-(022)774-9719
Martha Bowman	6-(535)906-9190
Paula Crawford	9-(412)614-9870
Nancy Kelly	3-(165)267-5064
Rachel Taylor	2-(552)247-9259
Denise Banks	8-(464)910-8405
Michelle Reid	4-(367)394-8329
Phyllis Howell	8-(100)998-9160
Heather Davis	3-(394)886-7197
Anna Burns	8-(391)846-7023
Jane Campbell	8-(846)664-9019
Sharon Mcdonald	7-(026)966-2893
Carol Williams	0-(057)830-0145
Donna Stanley	2-(595)539-9125
Jennifer Torres	8-(207)976-7224
Linda Barnes	3-(994)132-9461
Brenda Torres	5-(267)353-6888
Gloria Hill	5-(412)822-8213
Louise Payne	9-(877)797-0974
Evelyn Warren	7-(872)584-3519
Rachel Burke	5-(915)606-2933
Sandra Sanchez	1-(017)791-8310
Elizabeth Green	0-(430)944-9924
Jennifer Schmidt	0-(156)717-1651
Tammy Hayes	2-(020)443-0663
Julie Gardner	0-(702)652-7677
Stephanie Grant	9-(826)328-7963
Ruth Robertson	6-(327)864-5688
Ruby Gutierrez	4-(930)067-0441
Sara Montgomery	2-(276)270-8872
Jane Freeman	6-(528)162-7302
Christine Hernandez	8-(904)997-6886
Laura Ruiz	7-(171)326-7183
Jennifer Tucker	3-(187)987-8412
Helen Sanders	7-(191)338-6454
Rachel Meyer	3-(230)517-1708
Susan James	5-(715)487-0584
Kathryn Robinson	1-(631)976-3966
Janice Torres	5-(093)621-2835
Sara Kennedy	4-(641)430-9818
Julie Russell	5-(098)686-9201
Tina Ryan	2-(906)045-8227
Ruby Howard	3-(011)209-8164
Marie Vasquez	5-(918)645-8786
Jennifer Snyder	8-(339)930-5298
Rachel Stanley	7-(319)867-1378
Melissa Henderson	9-(384)293-2273
Sara Morales	9-(484)390-1549
Ruby Palmer	0-(722)614-8914
Julia Palmer	6-(711)626-2357
Robin Reed	1-(445)720-8220
Anna Rogers	5-(908)357-7752
Jacqueline Ward	5-(439)233-1374
Diane Bell	0-(840)768-7642
Denise Simpson	6-(370)230-9203
Judith Harrison	5-(179)160-6203
Wanda Bradley	6-(315)305-0700
Christina Hanson	6-(719)981-7877
Cheryl White	4-(095)010-3417
Margaret Harrison	4-(899)240-9235
Cynthia Patterson	3-(897)061-0336
Donna Watson	6-(795)529-6797
Dorothy Cook	2-(451)384-4988
Cynthia Wagner	4-(768)876-5316
Betty Gray	9-(598)043-2625
Kimberly Hicks	7-(229)612-3506
Jacqueline Medina	1-(097)114-2134
Beverly Ellis	0-(389)617-3077
Teresa Martinez	9-(946)851-8829
Amy Johnston	2-(985)283-0495
Andrea Castillo	8-(792)390-1111
Nancy Russell	1-(538)447-3732
Sarah Hawkins	3-(968)964-9378
Irene Martin	9-(462)402-5195
Cheryl Campbell	9-(366)338-2680
Louise Perry	7-(541)920-5062
Sharon Jenkins	3-(107)567-5580
Janet Sullivan	1-(385)402-2029
Barbara Cox	5-(847)798-9645
Virginia Rogers	5-(642)541-6864
Dorothy Moreno	1-(715)061-6004
Cheryl Griffin	1-(608)428-6482
