Doris Washington	7-(502)158-6725
Jennifer Olson	7-(657)676-5371
Jennifer Williamson	1-(350)041-1672
Bonnie Cole	5-(014)948-5883
Andrea Kelley	6-(964)603-3072
Betty Brooks	5-(326)470-3709
Cheryl Mitchell	1-(452)252-2919
Amy Bowman	4-(353)247-6774
Kathy Hart	7-(468)274-6581
Michelle Wagner	0-(051)626-5687
Bonnie Jones	4-(517)587-0456
Anne Smith	5-(257)216-0370
Pamela Garrett	3-(047)289-5006
Christina Murphy	9-(524)211-7992
Louise Castillo	8-(104)792-2862
Karen Romero	9-(388)455-5798
Stephanie Perez	9-(194)064-8782
Andrea Lopez	2-(307)541-5773
Donna Cook	6-(415)284-1800
Emily Stone	2-(490)543-0188
Debra Olson	1-(386)544-9807
Rebecca Morgan	4-(681)239-8649
Judith Berry	6-(694)507-5300
Rebecca Stevens	7-(771)710-9342
Maria Coleman	0-(250)359-3728
Deborah Jenkins	0-(417)967-7177
Kathleen Frazier	6-(946)088-7079
Brenda Harvey	4-(805)664-7919
Maria Mills	9-(865)361-8579
Julia Crawford	4-(092)899-4392
Gloria Myers	5-(083)109-7943
Jean Olson	1-(147)614-3965
Susan Hamilton	5-(274)139-6715
Nicole Burke	5-(280)380-9496
Dorothy Miller	2-(874)555-2096
Cheryl Larson	1-(182)159-4222
Julie Fuller	0-(641)565-9868
Melissa Wallace	7-(503)827-3614
Helen Howard	6-(696)436-5542
Carol Parker	6-(682)763-0659
Melissa Diaz	5-(904)684-9515
Julie Andrews	4-(281)480-9323
Theresa Alexander	8-(910)694-0468
Shirley Lawson	1-(467)989-3037
Lisa Grant	8-(843)029-7942
Amanda Edwards	6-(003)937-3447
Brenda Sanders	3-(901)192-9175
Lori Arnold	9-(807)896-4611
Kathryn Martin	4-(659)025-0797
Maria Rice	7-(269)093-3221
Kimberly Hanson	0-(074)566-4198
Stephanie Jones	9-(585)439-2725
Maria Gibson	5-(984)121-9719
Ashley Marshall	7-(029)481-7938
Kathleen Hawkins	5-(200)576-3029
Theresa West	7-(938)200-0361
Alice Thomas	3-(729)025-7126
Kathleen Franklin	2-(523)180-0062
Carolyn Adams	9-(277)343-3604
Ann Lawrence	5-(674)593-0632
Evelyn Morales	9-(468)509-2573
Judy Alvarez	6-(273)514-6867
Tammy Nguyen	2-(586)809-1251
Emily Campbell	5-(154)478-4394
Carolyn Howard	7-(314)158-0846
Ashley Hawkins	6-(346)123-3422
Amy Peters	3-(866)023-9592
Anna Gibson	1-(644)450-1945
Lisa Hanson	6-(517)524-2650
Karen Hudson	5-(856)472-6084
Kathleen Gomez	6-(563)770-6695
Frances Payne	9-(679)527-1122
Carolyn Griffin	6-(675)387-6061
Virginia Butler	3-(486)361-8230
Emily Ferguson	0-(778)765-7976
Margaret Moreno	2-(740)222-8519
Lois Rodriguez	6-(263)932-3490
Angela Evans	0-(366)343-9376
Norma Ellis	5-(548)067-1647
Rachel Gibson	7-(613)907-4226
Cheryl Gilbert	3-(267)278-8650
Marilyn Medina	5-(613)992-4784
Jacqueline Washington	6-(556)411-5384
Tammy Stevens	6-(107)981-7479
Diane Wheeler	2-(032)457-8747
Joyce Sims	5-(639)179-9766
Marilyn Gardner	1-(953)726-4451
Amanda Knight	8-(122)034-4128
Marilyn Taylor	6-(471)519-8761
Janet Reed	1-(701)051-5999
Anna Griffin	5-(008)942-9548
Elizabeth Vasquez	9-(471)679-4692
Amy Castillo	5-(095)754-7367
Robin Bowman	1-(243)578-1323
Anna Kennedy	5-(441)543-2308
Robin Wood	3-(740)731-2633
Barbara Mccoy	2-(744)913-3549
Amy Cooper	3-(966)248-5393
Joan Baker	5-(404)522-0227
Sandra Allen	3-(775)908-0724
Anne Gonzalez	7-(800)312-4932
Kelly Carroll	2-(963)260-7206
Laura Foster	3-(817)084-8598
Linda Fowler	9-(939)915-0101
Norma Wood	4-(193)212-2019
Lois Jacobs	6-(439)114-4165
Norma Burke	6-(182)304-3178
Teresa Jones	1-(516)477-6991
Louise Carpenter	1-(127)224-2013
Elizabeth Robertson	1-(018)487-7878
Marilyn Jones	1-(056)180-8718
Rebecca Jones	9-(683)366-2388
Ruth Wood	4-(223)632-4723
Emily Sanders	1-(723)215-9465
Kathryn Garrett	9-(796)819-4676
Mildred Jones	2-(986)656-0940
Kelly Murray	2-(046)210-6678
Laura Lee	9-(886)785-0049
Annie Martin	1-(209)520-1282
Judith Arnold	6-(111)827-2204
Jean Carpenter	1-(866)421-5026
Pamela Rodriguez	6-(434)195-3926
Amanda Webb	0-(711)540-4076
Barbara Gilbert	3-(420)447-6075
Martha Montgomery	3-(445)185-3842
Susan Simpson	5-(999)236-6695
Sandra Willis	2-(870)922-6020
Julie Frazier	3-(006)240-5675
Jacqueline Grant	1-(644)874-9208
Ruby Cole	8-(785)321-4486
Julie Edwards	9-(985)846-9206
Sharon Hughes	4-(682)931-5627
Debra Knight	4-(937)048-4140
Denise Smith	6-(003)691-8902
Jane Henderson	7-(250)412-0498
Rose Fuller	1-(700)945-7536
Beverly Lopez	0-(262)470-0656
Carol Morales	8-(507)561-6593
Diane Simmons	6-(233)827-9392
Jane Greene	2-(483)759-0183
Lori Mccoy	4-(043)360-3076
Mildred Bryant	9-(247)803-8748
Rebecca Fernandez	5-(039)477-8931
Sara Hunter	1-(874)880-5472
Wanda Peterson	5-(330)983-2065
Sharon Cruz	3-(056)827-2130
Frances Hayes	0-(487)135-9541
Tammy Phillips	4-(159)294-9619
Janice Foster	6-(136)749-4269
Margaret Banks	3-(833)589-8413
Kathryn Fields	1-(341)570-7714
Joan Nelson	9-(314)580-4960
Laura Martinez	3-(738)747-0172
Elizabeth Stanley	4-(897)156-3862
Carol Watson	9-(800)619-0192
Kathleen Owens	0-(086)614-7086
Nicole Fowler	9-(441)398-3859
Ruth Cook	5-(594)705-5519
Nancy Howard	1-(500)383-8348
Theresa Lee	3-(598)406-9346
Lillian Simmons	0-(002)405-7188
Stephanie Wallace	0-(396)049-0668
Wanda Grant	5-(074)816-9772
Catherine Murphy	6-(656)323-9474
Diane Hernandez	6-(061)456-7833
Dorothy Reid	8-(625)744-0452
Nancy Romero	2-(696)121-9726
Judy Carr	2-(353)747-3891
Debra Fuller	9-(299)825-0295
Norma Ray	7-(298)282-5012
Kelly Morrison	0-(880)452-6270
Katherine Woods	0-(126)028-4823
Frances Snyder	9-(369)174-6132
Barbara Stephens	0-(720)321-3998
Paula Morgan	8-(769)470-1627
Patricia Wells	0-(408)836-9416
Deborah Adams	9-(392)512-0431
Sarah Fisher	3-(129)151-4925
Tina Elliott	0-(364)696-8637
Bonnie Cook	7-(252)957-8797
Kathryn Myers	0-(795)417-7137
Martha Martin	5-(648)454-2130
Mary Howell	5-(791)711-4831
Brenda Daniels	8-(119)194-4737
Denise Hernandez	5-(721)930-2307
Jacqueline Carter	5-(967)940-2083
Ruby Dixon	0-(748)581-8506
Julie Duncan	8-(195)475-0954
Stephanie Ortiz	3-(570)261-7874
Sharon Meyer	7-(824)824-6022
Elizabeth Collins	6-(214)455-9019
Deborah Thomas	9-(161)684-6898
Jacqueline Holmes	5-(071)906-9898
Frances Greene	3-(654)188-6128
Andrea Mason	5-(178)498-3406
Shirley Martinez	0-(289)437-1109
Jacqueline Anderson	2-(450)977-7809
Joyce Brown	2-(057)590-9046
Rose Myers	0-(066)164-1384
Tammy Porter	6-(552)285-3667
Sandra Matthews	7-(640)711-5193
Amy Young	9-(277)684-7249
Debra Rose	8-(420)713-4497
Betty Crawford	4-(966)196-9883
Ashley Murphy	3-(261)288-5639
Cheryl Day	7-(553)126-8147
Wanda Torres	4-(917)332-0956
Kelly Rice	2-(257)529-7696
Jean Bennett	1-(458)875-5003
Helen Gonzales	1-(796)633-6050
Jean Williams	5-(511)625-4102
Gloria Sullivan	0-(333)314-8385
Katherine Jackson	9-(081)796-5236
Rose Olson	8-(394)320-6309
Christine Ryan	3-(462)589-7805
Paula Murray	4-(002)853-1707
Lillian Evans	9-(915)531-9936
Christine Tucker	8-(110)054-0416
Ruby Harris	3-(059)427-0658
Irene Hanson	9-(579)957-7685
Rebecca Young	2-(100)854-3004
Beverly Mccoy	8-(808)052-8788
Helen Tucker	0-(195)863-6142
Denise Riley	5-(093)166-9824
Marie Peters	2-(652)697-5040
Kelly Cook	7-(359)544-2070
Laura Williams	8-(929)380-9307
Jessica Jacobs	1-(130)247-2731
Ann Johnston	7-(073)244-9691
Amy George	5-(652)808-5528
Elizabeth Rose	6-(594)806-0958
Evelyn Walker	4-(494)202-4579
Catherine Sanders	2-(768)332-0030
Shirley Diaz	8-(436)726-2798
Robin Hicks	3-(236)074-6284
Ann Cox	5-(657)057-1412
Nicole Robertson	6-(129)057-7774
Annie Lynch	1-(644)543-9346
Rachel Wood	8-(236)718-0198
Janet Wright	2-(772)504-4940
Sara Carr	7-(284)418-9657
Tammy Graham	1-(164)542-9362
Martha Garza	6-(784)836-1093
Katherine Bailey	4-(773)786-0636
Barbara Morales	1-(812)205-5582
Gloria Burton	2-(680)016-4560
Tina Pierce	8-(110)259-0083
Lori Simmons	9-(972)954-1803
Carolyn Montgomery	7-(483)423-8234
Linda Evans	8-(090)503-4149
Linda Robinson	2-(479)587-8015
Ann Fields	4-(285)494-1510
Melissa Peters	6-(403)641-5002
Carol Simpson	6-(615)792-5433
Barbara Alexander	2-(379)919-8180
Judy Hamilton	4-(627)292-8814
Cheryl Coleman	4-(653)163-0533
Virginia Sullivan	0-(750)250-3783
Nancy Reynolds	0-(212)212-2981
Bonnie Ward	8-(401)180-2313
Rachel Freeman	7-(364)725-9125
Beverly Collins	9-(823)648-1927
Julia Wheeler	3-(024)643-1595
Linda Torres	5-(930)741-6804
Janet Torres	6-(024)061-4243
Jessica Hill	2-(816)781-9736
Cheryl Collins	4-(973)908-6273
Lillian Mcdonald	2-(451)706-7896
Rebecca Taylor	9-(777)845-6631
Kathleen Johnston	6-(824)553-1944
Rose Banks	6-(391)628-6935
Heather Bishop	9-(585)429-4376
Jacqueline Fields	6-(265)362-4239
Michelle Gray	4-(569)022-4582
Jacqueline Wells	3-(214)774-6551
Virginia Harvey	6-(757)916-0334
Christina Marshall	6-(480)630-7749
Lois Murray	3-(202)479-4016
Cheryl Nichols	3-(232)734-0023
Julie Ford	9-(992)328-6913
Christine Murray	9-(056)433-9065
Robin Schmidt	4-(667)643-4835
Maria Ramirez	1-(256)426-4965
Jennifer Watkins	0-(476)241-0413
Kathleen Cox	4-(320)002-3710
Rachel Perez	6-(764)677-9356
Helen Larson	7-(437)504-9994
Lori Harrison	8-(609)245-3739
Tina Watkins	9-(847)099-4647
Andrea Chavez	6-(798)659-6178
Wanda Henry	0-(812)561-8118
Angela Rodriguez	4-(688)813-1030
Gloria Lawson	9-(207)560-2990
Gloria Evans	5-(192)470-4216
Marilyn Hall	5-(535)857-0182
Irene Ryan	6-(777)463-0730
Linda Holmes	4-(342)627-8158
Gloria Reed	3-(959)786-9524
Judy Bradley	6-(690)266-3149
Louise Palmer	2-(209)632-1889
Paula Medina	2-(357)928-5896
Donna Burton	6-(547)006-0023
Norma Simpson	2-(684)589-0315
Rachel West	7-(318)753-5490
Pamela Gilbert	5-(769)521-6896
Michelle Wood	9-(423)495-8050
Tina Lane	5-(193)894-2663
Angela Hawkins	3-(850)784-9559
Michelle Ramirez	8-(542)586-1552
Jessica Cook	0-(659)768-6890
Julia Harris	5-(459)176-1886
Jennifer King	3-(891)907-7624
Mildred Henry	6-(998)657-8643
Joan Thompson	3-(883)316-7655
Amy Martin	9-(097)992-7940
Carol Scott	6-(736)210-2142
Kathleen Hughes	6-(456)425-7020
Gloria Ryan	1-(288)991-2230
Margaret Howard	6-(881)418-9266
Alice Brown	6-(641)976-7166
Teresa Hughes	3-(899)546-2066
Jennifer Perry	4-(601)809-7271
Mary Scott	2-(235)699-1675
Sharon Rogers	3-(219)355-9500
Lisa Payne	2-(237)146-5878
Brenda King	4-(973)116-8587
Patricia Shaw	4-(397)344-8861
Betty Evans	5-(151)743-8410
Carol Willis	9-(757)621-8645
Betty Jones	8-(128)826-1452
Alice Watson	9-(324)434-7179
Heather Henry	6-(199)602-7267
Paula Pierce	9-(941)694-9074
Frances Knight	1-(134)062-1083
Rose Hernandez	0-(566)062-9451
Denise Garrett	7-(908)687-4168
Nicole Franklin	8-(798)370-5921
Marilyn Bryant	9-(004)883-0884
Susan Lopez	2-(654)374-1825
Kathleen Simmons	9-(867)428-5597
Shirley Perkins	2-(758)629-9900
Tammy Fuller	0-(231)047-0122
Lisa Ortiz	8-(887)380-8070
Diana Johnson	7-(260)765-5377
Diana Ramos	6-(294)396-0040
Deborah Henry	1-(556)543-5192
Heather Roberts	9-(126)054-8917
Irene Kim	1-(761)602-6602
Anna Sims	5-(487)928-0845
Tina Hawkins	0-(360)245-6306
Betty Hunt	4-(018)866-5151
Elizabeth Fisher	7-(258)633-1706
Ann Frazier	3-(090)286-9239
Kathryn Ramos	0-(741)524-0663
Beverly Riley	7-(803)133-3895
Laura Fowler	0-(017)055-9073
Irene Castillo	8-(813)158-1902
Elizabeth Hansen	5-(968)436-2058
Rebecca Banks	2-(011)760-2130
Julie Cooper	5-(774)995-0987
Norma Day	7-(871)988-4162
Christine Greene	5-(624)755-8694
Teresa Gordon	9-(688)776-8086
Amy Hudson	9-(284)065-7445
Mary Gibson	3-(509)550-5780
Alice Chapman	4-(910)230-9494
Lois Ellis	3-(806)258-1486
Brenda White	2-(163)769-0118
Amy Peters	4-(461)890-1779
Mildred Scott	7-(806)399-3906
Teresa Andrews	5-(103)659-2861
Anna Porter	6-(948)057-1180
Kathy Burke	2-(097)857-6584
Marie Larson	3-(080)233-0856
Cynthia Washington	1-(351)287-3232
Joyce Diaz	1-(108)221-3939
Kelly Lane	3-(830)710-5665
Joan Boyd	9-(236)644-0374
Julie Hudson	2-(917)180-3706
Sara Shaw	0-(791)221-9795
Frances Shaw	8-(040)423-0168
Joyce Brown	3-(879)383-5452
Marilyn Davis	8-(553)942-8740
Gloria Hamilton	8-(683)160-6891
Linda Murray	9-(603)326-9788
Melissa Lewis	5-(067)011-5626
Marilyn Anderson	1-(368)340-2659
Susan Peters	7-(031)121-8385
Julie Arnold	8-(279)767-5156
Jacqueline Elliott	3-(223)491-2910
Tammy Dixon	1-(472)435-9404
Joyce Jackson	8-(150)530-9798
Judy Robertson	9-(614)362-7850
Lois Myers	7-(250)061-7454
Robin Peterson	5-(346)427-4672
Lisa Gonzales	8-(101)994-5427
Karen Banks	1-(914)908-3304
Kathleen Dean	8-(511)340-8688
Kelly Nguyen	1-(249)915-3728
Nancy Barnes	3-(118)679-0739
Kimberly Bryant	6-(062)742-0345
Debra Hunt	2-(867)223-4083
Melissa Fuller	4-(990)125-6278
Melissa Lynch	4-(165)781-6827
Virginia Morales	5-(786)935-2310
Wanda Cox	6-(957)209-1629
Bonnie Montgomery	3-(413)646-1523
Tammy Stevens	5-(305)787-6024
Kathy Walker	4-(180)097-0129
Stephanie Robinson	3-(812)223-9371
Beverly West	3-(851)533-1190
Irene Diaz	0-(261)686-8025
Kathy Peterson	6-(615)406-2797
Kimberly Hunter	9-(406)214-3683
Jacqueline Brooks	0-(770)966-6896
Jacqueline Bowman	8-(348)940-1352
Phyllis Sanchez	6-(694)084-4538
Ashley Scott	7-(211)619-9556
Carolyn Lane	3-(707)598-3918
Rachel Olson	6-(656)635-1365
Susan Morales	5-(830)253-4623
Shirley Gutierrez	5-(364)071-7865
Pamela Jordan	9-(581)023-7480
Marilyn Anderson	3-(271)107-7810
Maria Pierce	6-(375)593-4916
Brenda Richardson	9-(262)674-2270
Annie Jenkins	2-(736)891-5780
Sandra Bradley	1-(101)412-5629
Kimberly Weaver	5-(053)365-7443
Amanda Gordon	1-(104)422-3563
Bonnie Gordon	8-(075)613-5872
Nicole Cooper	1-(540)647-2706
Jacqueline Gutierrez	9-(244)019-2527
Christine Warren	3-(394)290-2237
Sandra Chavez	6-(071)938-7520
Lisa Lane	4-(079)093-1789
Andrea Riley	7-(504)156-3691
Sara Dean	1-(541)152-6643
Cheryl Lopez	5-(041)665-9905
Lois Richards	2-(095)059-5793
Heather Patterson	9-(905)729-7650
Laura Harrison	9-(177)078-2678
Katherine Simpson	8-(179)406-2481
Sara Burke	0-(603)504-6098
Denise Harris	6-(040)400-4935
Alice Mills	1-(493)288-2366
Jessica Patterson	1-(494)060-1603
Diane Webb	7-(841)372-5442
Louise Watson	0-(638)778-4446
Anna Jackson	0-(654)731-8505
Doris Holmes	2-(247)349-6769
Janice Day	4-(992)657-6526
Jennifer Willis	4-(232)187-7908
Laura Miller	7-(413)351-7452
Nancy Lewis	1-(642)805-5772
Alice Burton	0-(564)619-6355
Mildred Mason	8-(508)034-2982
Tammy Oliver	4-(750)641-0780
Andrea Brooks	7-(536)660-0263
Nicole Burns	0-(108)040-9414
Kathy Porter	1-(861)171-4630
Wanda Knight	0-(542)021-9335
Norma Holmes	0-(070)937-2771
Ashley Price	4-(816)942-3404
Bonnie Matthews	2-(702)764-4634
Andrea Daniels	5-(640)364-1005
Deborah Murphy	8-(582)531-4364
Cynthia James	6-(417)100-2421
Tammy Allen	7-(792)562-5905
Julia Foster	4-(273)951-4866
Kimberly Lopez	0-(840)904-4297
Tammy Myers	7-(197)526-3369
Lillian Medina	1-(361)964-9317
Martha Franklin	6-(942)039-0007
Ashley Lee	8-(142)465-5558
Deborah Gardner	8-(810)787-5189
Andrea Banks	4-(232)826-4071
Catherine Wilson	7-(586)736-2889
Karen Rodriguez	3-(704)043-1915
Deborah Montgomery	5-(533)676-9684
Barbara Hicks	6-(535)337-1643
Doris Johnson	9-(123)201-9165
Maria Mcdonald	8-(046)197-2955
Brenda Berry	4-(340)369-8408
Barbara Parker	6-(359)223-0308
Angela Snyder	5-(713)226-5087
Christina Martinez	8-(899)825-7232
Maria Crawford	7-(350)552-5982
Amanda Shaw	6-(855)262-3100
Cynthia Moreno	1-(490)469-1149
Ruth Flores	3-(615)389-9899
Virginia Bryant	5-(142)607-8280
Doris Welch	4-(569)220-5919
Judith Brown	7-(551)409-7375
Lisa Kelly	5-(812)094-9870
Melissa Gonzalez	8-(072)754-8979
Norma Morales	9-(089)751-4258
Ann Reyes	8-(968)107-3818
Debra Lynch	7-(347)774-9409
Stephanie Welch	5-(884)956-1035
Katherine Hart	5-(099)222-5539
Barbara Young	8-(702)870-3964
Lillian Morris	2-(771)177-0682
Marilyn Grant	6-(566)173-3307
Donna Bradley	7-(797)397-1559
Virginia Baker	1-(234)385-3430
Joan Matthews	7-(463)129-4215
Brenda Daniels	7-(906)289-3690
Kathleen Marshall	8-(707)617-4579
Theresa Carr	5-(297)338-6118
Heather Campbell	7-(412)174-8187
Tina Grant	8-(828)462-3699
Kathleen Sanchez	6-(815)944-1541
Beverly Hart	6-(393)430-1137
Michelle Russell	6-(196)097-1109
Jessica White	9-(312)843-3932
Tammy Johnson	6-(986)447-5178
Nicole Matthews	8-(991)694-6016
Emily Carroll	9-(279)972-5299
Christine Long	6-(474)172-6447
Lois Bryant	3-(313)519-5351
Carol Chapman	3-(376)669-5845
Sara Black	7-(087)792-5032
Stephanie Burke	2-(389)185-9454
Julie Reid	7-(253)465-8346
Shirley Kelly	3-(675)678-9910
Jacqueline Rice	2-(609)874-2669
Rachel Wagner	8-(093)091-4530
Irene Gutierrez	9-(523)069-8612
Doris Morales	1-(008)325-6425
Brenda Reed	0-(292)072-5130
Cynthia Oliver	4-(950)677-1311
Kathleen Marshall	4-(373)922-4246
Andrea Williamson	2-(675)838-3321
Debra Diaz	1-(864)882-8836
Jacqueline Evans	6-(784)481-2935
Mary Morris	6-(280)502-4216
Patricia Alvarez	8-(934)275-2182
Ashley Morales	7-(400)232-9899
Anne Boyd	2-(880)479-3373
Robin Adams	6-(376)563-9994
Sarah Brown	6-(362)827-9301
Alice Hunter	3-(739)977-2939
Barbara Gordon	0-(675)926-6137
Karen Johnson	8-(719)445-9256
Robin Bowman	2-(663)343-8425
Judy Carpenter	9-(342)262-1181
Carol Palmer	3-(449)167-6507
Janet Daniels	5-(188)778-4235
Kathleen Hall	3-(664)385-0949
Susan Mason	0-(507)774-8260
Maria Oliver	8-(082)467-4697
Marie Kim	1-(334)438-2746
Pamela Nelson	8-(986)467-4707
Marilyn Duncan	5-(176)999-1364
Patricia Carroll	0-(093)035-4059
Christina Roberts	6-(898)692-9363
Julie Thomas	4-(392)304-4617
Louise Cole	2-(367)138-0207
Julia Payne	7-(475)029-2353
Gloria Fowler	7-(612)228-2032
Margaret Rodriguez	8-(394)949-3578
Shirley Wagner	3-(156)140-7515
Betty Frazier	3-(856)761-7446
Diana Foster	8-(470)181-6332
Evelyn Bell	3-(553)898-2025
Barbara Cunningham	7-(456)078-6532
Cheryl Adams	1-(973)037-4054
Irene Thomas	4-(605)355-0262
Lori Wagner	7-(126)370-8175
Ashley Chapman	7-(715)459-9672
Jennifer Reed	7-(946)722-0605
Marilyn Palmer	7-(870)824-4804
Rebecca Hansen	4-(562)801-3341
Sandra Hicks	2-(790)221-2800
Melissa Wilson	6-(509)173-8343
Carolyn Roberts	6-(712)547-1378
Lori Allen	8-(514)110-8717
Barbara Reyes	7-(142)750-1693
Annie Morris	5-(483)873-3325
Deborah Taylor	5-(010)528-7827
Lois Dean	0-(090)996-6202
Maria Franklin	3-(996)503-1629
Sarah Sanders	6-(361)750-2015
Brenda Day	8-(522)373-5587
Jane Duncan	6-(870)587-2761
Brenda Long	3-(372)322-4832
Ann Pierce	4-(006)004-1031
Patricia Elliott	1-(674)520-1804
Patricia Bennett	5-(968)558-3945
Doris Pierce	1-(457)080-8240
Evelyn Sanders	0-(044)925-4897
Irene Johnston	0-(330)306-9820
Nancy Lawson	6-(829)033-1543
Doris Armstrong	0-(861)032-9321
Michelle Tucker	1-(897)494-4714
Teresa Peterson	6-(826)600-5945
Ruby Williamson	9-(080)624-6378
Carolyn Gordon	5-(003)025-6981
Kathy Walker	5-(950)839-6935
Kathryn Lawson	0-(541)764-1224
Laura Burke	9-(758)891-9364
Julia Watkins	6-(014)812-6791
Catherine Gordon	0-(520)732-0532
Diane Arnold	7-(977)810-6996
Beverly Carroll	6-(992)175-1020
Donna Burton	4-(864)093-1529
Sharon Day	8-(297)877-2500
Donna Cole	0-(097)608-4089
Melissa Nguyen	3-(704)250-4220
Irene Cunningham	7-(065)459-9040
Janice Warren	6-(980)442-3063
Ann Bell	9-(909)327-6185
Jean Phillips	8-(829)329-5962
Laura Miller	0-(634)589-1379
Margaret Jackson	8-(721)065-8488
Wanda Welch	9-(660)172-5386
Sarah Wilson	2-(031)923-4171
Melissa Watson	5-(413)948-2516
Amy Moreno	5-(909)633-9670
Debra Cole	3-(588)718-2562
Sharon Johnston	6-(964)211-0235
Helen Flores	8-(134)462-6810
Kelly Hall	2-(173)345-4285
Rachel Hansen	9-(264)637-5585
Karen Castillo	3-(331)165-6889
Melissa Larson	3-(939)018-8890
Margaret Schmidt	7-(427)554-1574
Pamela Webb	4-(449)197-2019
Wanda Turner	6-(452)305-4347
Irene Reyes	7-(296)054-2750
Rose Foster	2-(687)242-9053
Anna Andrews	7-(670)920-0847
Amanda Reid	5-(045)555-8041
Christine Nichols	9-(421)382-5796
Kathryn Robertson	7-(450)472-3613
Amanda Gibson	7-(477)208-9504
Anne Vasquez	9-(779)189-9603
Carolyn Palmer	3-(995)287-7399
Barbara Mitchell	6-(803)004-0246
Ann Montgomery	4-(884)096-7062
Jane Meyer	8-(463)019-6719
Wanda Russell	4-(148)508-9274
Paula Holmes	7-(818)596-0023
Norma Lawson	8-(045)653-8371
Laura Holmes	6-(831)364-0361
Carol Richardson	8-(262)524-2122
Nancy Perry	6-(309)725-5839
Diana Rogers	5-(865)581-6247
Phyllis Bell	2-(369)838-1432
Christina Harris	6-(820)323-1194
Christine Tucker	4-(327)842-2868
Angela Hayes	9-(166)533-3609
Laura Perez	0-(478)254-6987
Janet Robinson	3-(512)536-0605
Rachel Porter	3-(199)454-4391
Doris Bowman	1-(752)723-0236
Marie Ferguson	1-(208)652-4917
Michelle Martin	6-(671)155-5252
Martha Myers	0-(574)981-0161
Sara Carr	9-(505)283-2757
Cynthia Wallace	2-(028)238-8922
Margaret Hawkins	3-(723)529-9324
Margaret Fernandez	1-(044)117-7323
Maria George	9-(739)282-1744
Lillian Knight	8-(980)353-5996
Gloria Simmons	6-(185)756-6887
Bonnie Lynch	2-(557)032-7244
Phyllis Bradley	8-(223)189-8331
Tammy Payne	0-(375)999-3598
Anna Edwards	2-(795)740-6593
Debra Jones	2-(484)006-8490
Cynthia Knight	6-(612)936-5432
Pamela Banks	5-(082)176-9175
Barbara Willis	5-(250)950-7124
Irene Robinson	3-(770)829-8926
Norma Patterson	6-(407)378-4561
Mildred Hicks	4-(614)718-1188
Donna Kelly	9-(744)371-0376
Tina White	1-(172)001-4285
Janice Griffin	1-(423)777-3540
Bonnie Ross	3-(495)776-7493
Heather Perez	1-(456)753-0995
Theresa Cox	2-(252)026-1647
Gloria Perez	9-(637)768-6259
Jessica Banks	2-(473)385-3443
Judy Stevens	1-(604)277-9538
Deborah Edwards	1-(839)720-0736
Tammy James	8-(226)543-8708
Cheryl Fox	2-(417)302-4876
Katherine Sanders	3-(838)178-5755
Rebecca Kennedy	6-(060)292-4971
Gloria Rivera	6-(219)358-6472
Mary Williams	6-(463)232-4023
Stephanie Bradley	8-(295)855-1799
Jessica Dunn	6-(133)693-2438
Carol Armstrong	2-(272)197-8745
Patricia Lawson	3-(638)988-1962
Marie Richardson	0-(683)421-8296
Ruby Lee	3-(814)832-8483
Angela Pierce	3-(303)049-2872
Mary Ryan	7-(643)483-3206
Wanda Burton	0-(118)660-5351
Phyllis Reynolds	2-(195)509-4832
Kimberly Graham	3-(844)371-9072
Catherine Harris	8-(608)153-7521
Irene Jacobs	4-(000)939-2417
Ruth Flores	6-(308)346-1528
Catherine Nguyen	6-(872)178-7412
Shirley Brown	0-(744)464-2486
Elizabeth Stanley	6-(129)903-6202
Nicole Payne	3-(249)128-0931
Pamela Henry	9-(721)326-9153
Doris Morgan	9-(429)129-1542
Rose Mason	0-(870)800-6701
Mildred Hunt	7-(618)399-3529
Paula Anderson	7-(083)301-9409
Heather Berry	4-(522)055-0787
Amanda Perkins	8-(329)686-3503
Laura Hansen	7-(608)619-6553
Jacqueline Henry	1-(889)077-3695
Diana Sanchez	1-(629)986-0457
Judith Sanders	0-(543)789-2645
Gloria Williamson	4-(057)649-1589
Rebecca Meyer	3-(220)843-2178
Diana Williams	2-(257)422-0163
Debra Mason	0-(654)106-6757
Paula Johnston	8-(336)956-1310
Rose Stephens	1-(574)377-7592
Shirley Gray	3-(573)498-3286
Nancy Tucker	9-(917)723-4204
Margaret Hudson	6-(935)878-3077
Brenda Gutierrez	4-(794)045-8332
Lois Rose	2-(239)787-1469
Julia Young	2-(375)507-5731
Rose Snyder	9-(415)320-7843
Ruby Owens	7-(038)372-3362
Kathryn Kelley	3-(845)831-8495
Sara Armstrong	3-(445)897-5244
Karen Myers	3-(248)789-1827
Amanda Nguyen	0-(239)579-5800
Dorothy Hicks	9-(894)950-8121
Angela Garcia	3-(221)903-4864
Christina Lawson	1-(861)084-9801
Karen Dixon	4-(338)709-8405
Wanda Flores	1-(773)506-5692
Denise Harper	3-(292)422-7098
Ann Nguyen	9-(987)945-2428
Maria Nguyen	5-(136)893-2290
Laura Rivera	4-(343)947-5386
Marilyn Turner	5-(234)117-8280
Sandra Grant	4-(309)910-4524
Norma Walker	8-(823)805-8729
Jessica King	9-(343)770-1084
Judith Kim	3-(588)060-9830
Linda Alexander	5-(952)029-4194
Amanda Hernandez	2-(172)326-7557
Kelly Stephens	9-(203)570-4184
Kelly Martin	4-(564)621-7288
Rebecca Jackson	8-(981)132-0311
