Jane Hayes	2-(643)886-5222
Katherine Mccoy	4-(866)837-2806
Norma Long	9-(642)388-9860
Betty Perkins	0-(174)747-1130
Nicole Butler	0-(278)386-8239
Patricia Flores	2-(177)263-9577
Heather Hanson	0-(061)270-8921
Linda Davis	1-(679)926-0135
Sharon Sims	6-(653)070-2186
Kimberly Ray	7-(595)204-9129
Heather Mccoy	2-(829)571-5751
Cynthia Morrison	0-(112)704-9866
Ruby Walker	3-(082)427-9867
Nicole Armstrong	7-(494)327-5812
Sarah Nelson	8-(252)040-9457
Anne Ramirez	8-(578)173-7259
Laura Wood	6-(956)523-4973
Mildred Lewis	6-(033)425-5851
Beverly Spencer	0-(119)553-1770
Theresa Rivera	9-(570)994-8927
Pamela Turner	2-(483)862-5162
Louise Bryant	9-(552)439-5349
Ruby Mills	6-(953)594-8285
Ashley Cunningham	0-(344)250-8526
Joan Peterson	4-(923)510-3953
Louise Cooper	4-(567)911-7601
Linda Morrison	2-(727)906-1465
Betty Fields	3-(361)421-3706
Carolyn Evans	2-(820)113-8131
Heather Franklin	9-(490)967-9832
Mildred Foster	0-(066)476-5667
Joyce Wilson	1-(884)902-7450
Robin Rose	7-(248)458-6699
Amy Porter	6-(315)400-8829
Diane Ortiz	7-(703)767-9424
Susan Garza	5-(747)939-6745
Marilyn Smith	3-(341)924-7278
Beverly Daniels	4-(188)573-6298
Karen Wilson	4-(911)453-8885
Karen Washington	2-(317)457-9565
Phyllis Peters	3-(701)077-5726
Nancy Hill	0-(774)162-6249
Michelle Myers	4-(455)337-4054
Amy Gibson	5-(035)037-7231
Jane Mason	4-(266)208-7150
Kathleen Nelson	1-(591)254-2958
Joyce Butler	8-(075)014-6587
Kathryn Pierce	5-(034)008-6705
Lillian Ortiz	0-(260)867-2976
Kelly Thomas	8-(322)699-1549
Jacqueline Scott	6-(568)324-6776
Alice Ford	4-(567)208-7419
Diana Payne	8-(824)909-8462
Gloria Palmer	1-(810)881-3349
Diana Gutierrez	5-(364)012-6424
Denise Martin	7-(755)580-1874
Ruth Holmes	0-(025)558-9309
Donna Webb	7-(484)513-3211
Diane Simmons	8-(879)788-9796
Mildred Medina	3-(260)449-5829
Debra Ramos	2-(630)963-9817
Dorothy Martin	1-(097)171-7637
Janet Simpson	2-(369)601-0158
Doris Gonzales	2-(581)272-1448
Anna Bishop	9-(642)639-6108
Nancy Burton	6-(156)934-1562
Catherine Kelly	9-(571)078-4243
Cheryl Dunn	5-(493)233-5548
Martha Mason	6-(399)710-5340
Julia Owens	1-(382)958-8522
Jennifer Harrison	6-(615)124-4615
Wanda Mccoy	8-(503)280-1170
Sara Hart	3-(700)865-1944
Lori Peters	2-(386)597-9321
Andrea Mcdonald	0-(792)787-7054
Kathleen Willis	7-(661)552-7672
Phyllis Ryan	4-(702)193-1962
Linda Rogers	6-(538)251-7116
Kathy Romero	3-(339)661-2123
Ruby Henry	7-(744)117-1956
Kimberly Nichols	7-(784)489-8296
Katherine Armstrong	8-(221)947-6966
Ruth Mills	2-(371)947-7463
Lori Cooper	9-(721)041-1400
Catherine Adams	2-(580)703-6791
Alice Jacobs	5-(302)609-2556
Lisa Sullivan	0-(324)537-4393
Jennifer Black	8-(713)118-6830
Sara Murphy	8-(616)179-3014
Annie Perry	2-(133)730-4847
Susan Powell	0-(129)995-9811
Alice Thompson	3-(866)792-3786
Kathryn Brooks	4-(582)614-2638
Marie Ramirez	8-(032)948-4972
Katherine Jordan	4-(225)045-5667
Stephanie Dunn	8-(538)810-3846
Phyllis Barnes	9-(034)992-3841
Jane Duncan	8-(930)092-9101
Debra Olson	5-(948)943-2622
Deborah Burke	9-(994)604-7312
Linda Morgan	8-(960)412-5765
Amanda Bradley	5-(302)176-7483
Rebecca Price	6-(171)397-9338
Martha Montgomery	9-(862)171-8368
Brenda Fernandez	6-(218)807-0178
Catherine Willis	9-(280)927-1800
Anne Pierce	4-(876)100-7522
Pamela Ramirez	8-(923)959-8336
Annie Oliver	6-(938)294-8580
Sharon Johnson	7-(507)370-4689
Teresa Willis	6-(654)396-9438
Mildred Peters	0-(483)960-6839
Sarah Smith	7-(868)355-7244
Heather Freeman	1-(017)354-8418
Catherine Mitchell	1-(851)837-8765
Nancy Dean	7-(153)756-7056
Jean Baker	7-(164)594-4196
Frances Cooper	8-(051)332-2664
Wanda Gray	9-(941)209-9839
Joan Campbell	3-(249)756-6872
Pamela Barnes	0-(699)914-3904
Christina Williamson	7-(960)991-0884
Cynthia Myers	2-(674)725-3987
Nicole Sanchez	3-(566)154-4242
Denise Alexander	2-(561)679-1713
Betty Gardner	3-(647)273-0582
Shirley Chapman	0-(104)266-2540
Susan Perry	8-(097)218-6494
Jennifer Gutierrez	8-(911)444-4169
Denise Wood	7-(939)672-2230
Anna Perry	6-(455)209-3317
Marie Matthews	5-(058)328-9117
Lori Carpenter	6-(668)612-0783
Ruby Gilbert	0-(205)264-7012
Bonnie Jackson	9-(487)241-3778
Mary Black	2-(444)548-4002
Virginia Stewart	4-(146)768-5753
Margaret King	0-(476)640-8126
Stephanie Duncan	8-(807)179-8089
Rebecca Nguyen	5-(734)584-4462
Beverly Russell	4-(223)272-6122
Tina Butler	5-(045)383-2696
Patricia Rivera	1-(404)336-7771
Christine Kelley	0-(585)943-8914
Michelle Green	7-(320)516-5445
Ruby Tucker	4-(113)563-7965
Alice Boyd	5-(576)176-9352
Doris Perkins	9-(426)244-5667
Anna Larson	6-(616)706-6523
Ruth Murray	0-(631)997-0292
Robin Berry	6-(003)133-9295
Anne Gutierrez	7-(192)219-1618
Judith Lane	8-(081)750-6795
Julie Scott	7-(391)327-0187
Carolyn Burton	8-(321)903-4106
Anna Roberts	1-(394)998-9024
Rebecca Martin	0-(508)797-6070
Martha Chapman	1-(345)987-5659
Linda Hunt	0-(084)332-2003
Michelle Owens	6-(457)364-0661
Louise Fox	1-(966)375-2670
Janice Snyder	5-(438)666-7632
Anne Brooks	6-(485)853-8549
Rose Turner	2-(921)185-3398
Rachel Mitchell	1-(907)536-6913
Heather Porter	1-(724)396-5902
Diana Davis	8-(159)371-9301
Joan Woods	2-(483)112-6160
Deborah Stone	9-(144)230-2721
Kathleen Weaver	1-(235)018-6151
Julie Murphy	2-(393)090-6261
Diane Reed	1-(100)667-1584
Annie Morales	5-(047)429-9917
Cynthia Ray	0-(259)891-2682
Martha Harvey	4-(701)510-8632
Rachel Diaz	8-(852)261-2957
Mary Edwards	4-(538)667-7828
Mildred Wright	9-(790)032-5063
Julia Hill	5-(238)029-1439
Cheryl Burke	8-(863)950-2960
Lori Bennett	0-(469)819-7309
Judy Taylor	0-(543)025-5248
Deborah Harper	7-(086)561-1209
Ann Ramos	4-(771)511-3931
Andrea Evans	4-(927)078-6293
Sandra Fields	7-(252)294-2876
Susan Robertson	5-(008)022-5664
Lillian Gray	4-(844)025-2339
Evelyn Myers	9-(600)430-7038
Sandra Willis	2-(263)748-2881
Norma Martin	9-(962)221-1174
Evelyn Hicks	8-(095)551-1266
Diane Burns	1-(314)502-0470
Sandra Wood	4-(092)848-7547
Diana Foster	7-(154)798-8771
Helen Henderson	7-(205)179-0503
Virginia Sullivan	0-(564)438-4559
Louise Cox	1-(886)415-1908
Heather Simmons	5-(327)194-3216
Janet Hansen	1-(726)185-6742
Lisa Young	6-(490)424-7047
Katherine Griffin	5-(564)862-9058
Rebecca Bradley	3-(321)423-3065
Debra Schmidt	8-(423)374-1603
Mildred Edwards	6-(698)819-4621
Nicole Ruiz	4-(517)927-3945
Judy Payne	8-(496)315-6195
Diana Franklin	0-(607)340-9931
Gloria Rodriguez	8-(061)331-9623
Paula Daniels	5-(150)246-8280
Rebecca Fowler	7-(866)080-0193
Louise Watkins	2-(361)170-7574
Amy Taylor	8-(065)442-7291
Robin Hunt	1-(459)890-3655
Michelle Kennedy	6-(131)943-1909
Janet Hanson	6-(695)579-1008
Lisa Dunn	4-(361)211-6115
Ashley Griffin	5-(349)772-7720
Mary Hill	0-(670)479-2429
Shirley Ruiz	7-(805)138-0924
Ruby Hanson	3-(455)258-8456
Nicole Ferguson	1-(028)274-4932
Joan Gibson	3-(071)916-4757
Joyce Rivera	6-(132)294-7316
Tammy Wagner	5-(815)434-1177
Louise Robinson	3-(751)186-4544
Helen Reyes	0-(373)679-9830
Ruby Collins	4-(764)946-8511
Louise Coleman	7-(966)030-1937
Deborah Hart	6-(954)258-5924
Robin Nichols	0-(055)240-2819
Sandra Castillo	1-(433)274-3066
Norma Simmons	8-(374)128-3303
Christine Gilbert	4-(274)689-4812
Joan Martinez	5-(157)146-5845
Jane Watkins	8-(591)614-7286
Robin Ross	1-(933)826-7871
Patricia Murphy	6-(266)419-9488
Nicole Cunningham	4-(217)422-4260
Michelle Walker	3-(714)361-6683
Angela Hudson	2-(519)295-6700
Jane Freeman	1-(873)782-4267
Anna Green	3-(094)085-9114
Robin Williams	9-(458)833-5425
Judy Wallace	9-(377)595-1542
Lois Harper	3-(161)100-4920
Kelly Richards	9-(070)933-8633
Frances Stanley	0-(622)612-8880
Brenda Williams	9-(428)522-9245
Karen Mills	5-(441)423-2507
Lisa George	2-(535)481-8764
Donna Reed	0-(739)917-0516
Jean Murphy	5-(746)293-5799
Virginia Duncan	6-(658)312-3445
Susan Day	0-(922)087-6620
Nancy Elliott	3-(345)910-2245
Lillian Carter	6-(627)049-1744
Gloria Jenkins	0-(544)421-0933
Katherine Carroll	6-(587)375-0077
Janice Flores	6-(651)948-8221
Christine Jones	1-(872)242-0639
Alice Cruz	5-(533)252-6807
Louise Boyd	1-(816)536-9608
Nicole Warren	6-(608)096-6936
Melissa Owens	7-(989)188-4828
Maria Garza	6-(729)050-9665
Sarah Adams	8-(793)672-4484
Jacqueline Reid	1-(488)371-1211
Lillian Chapman	1-(617)893-6948
Rebecca Hicks	6-(114)516-3006
Kathy Carter	8-(147)204-7770
Marie Palmer	1-(256)138-9662
Deborah Hunt	5-(619)006-0508
Tina Andrews	6-(851)644-9048
Rose Mills	4-(073)584-9055
Ashley Robertson	5-(246)796-7384
Betty Gutierrez	2-(039)276-4498
Christina Anderson	5-(472)642-8267
Louise Daniels	8-(965)978-4478
Diana Torres	2-(457)986-6100
Elizabeth Burns	0-(823)324-4866
Deborah Morris	1-(116)615-4189
Emily Murray	0-(772)472-8896
Anne Kelley	0-(306)457-4340
Rebecca Howell	0-(578)264-9133
Tammy Thompson	3-(760)973-2139
Cynthia Reynolds	1-(870)800-3485
Sandra Franklin	4-(741)296-0021
Jennifer Freeman	6-(537)636-3110
Lois Henderson	8-(344)339-7635
Heather Simmons	6-(273)154-9442
Janet Johnson	4-(832)451-6539
Anna Reed	2-(537)460-3716
Nancy Nguyen	6-(822)044-2869
Mary Frazier	4-(534)459-5759
Kathryn Moreno	6-(482)350-4197
Ruby Perry	4-(770)101-3154
Cynthia Scott	0-(434)327-7199
Gloria Dunn	1-(899)734-6414
Diana Johnson	0-(131)928-1322
Martha Burton	2-(730)438-7047
Lillian Knight	1-(346)919-3212
Denise Dunn	1-(271)441-5313
Donna Parker	2-(933)705-5855
Barbara Howell	1-(161)682-7766
Ashley Cunningham	2-(633)738-6440
Kathryn Griffin	0-(576)424-7167
Mildred Ferguson	9-(484)541-6648
Lori Turner	4-(456)977-5131
Laura Martinez	8-(347)262-6679
Andrea Roberts	6-(391)690-1267
Ruby Harris	0-(912)509-7750
Denise Wallace	3-(685)244-1322
Sarah Moore	7-(055)154-9216
Robin Jackson	3-(589)717-7094
Andrea Harper	9-(827)759-4836
Angela Davis	7-(573)199-5269
Bonnie Howell	9-(894)757-4196
Pamela Meyer	0-(697)705-7450
Melissa Wright	5-(517)509-0745
Marie Knight	9-(710)121-8426
Mary Stephens	4-(046)684-1204
Catherine Ruiz	6-(467)306-1116
Kelly Andrews	0-(067)404-9991
Melissa Ruiz	9-(587)053-4043
Anna Hanson	5-(997)894-4710
Tammy Webb	2-(707)736-3141
Jacqueline Peters	8-(351)045-9405
Sara Mendoza	0-(893)541-8652
Rachel Butler	4-(376)611-1375
Martha Simpson	9-(204)576-5490
Margaret Fox	2-(154)000-8604
Sarah Gonzalez	0-(917)784-2387
Linda Campbell	9-(926)694-4153
Janet Owens	1-(618)553-0176
Sarah Howell	5-(427)730-8109
Melissa Powell	1-(303)701-3465
Sara Fowler	1-(131)569-3655
Tammy Hanson	4-(684)773-7431
Katherine Harrison	3-(740)458-7959
Judith Hall	1-(667)918-0625
Mary Dixon	5-(739)319-8483
Jacqueline Lane	1-(807)021-0903
Michelle Willis	4-(377)937-0881
Cynthia Ruiz	3-(039)287-0414
Paula Ellis	5-(957)995-8031
Ashley Lawrence	6-(067)972-2148
Amy Patterson	7-(781)319-7961
Alice Matthews	5-(761)672-5256
Robin Collins	6-(760)462-6272
Kimberly Brooks	9-(523)409-0532
Pamela Kennedy	5-(686)772-9217
Gloria Russell	0-(722)815-6282
Carol Matthews	4-(041)212-2320
Beverly Simpson	0-(106)404-0342
Linda Jacobs	4-(805)995-6976
Maria Simpson	4-(307)929-2478
Melissa Baker	4-(931)595-8628
Rebecca Fowler	5-(205)935-0414
Annie Willis	6-(805)849-0725
Lillian Walker	7-(670)917-9141
Jacqueline Oliver	0-(011)920-4253
Patricia Peters	2-(351)553-5776
Louise Hayes	6-(127)802-8448
Judith Rogers	2-(902)592-3977
Sharon Duncan	8-(278)033-6128
Sandra Hamilton	4-(729)517-1378
Judy Boyd	7-(855)932-0906
Joyce Scott	3-(377)814-8504
Theresa Garcia	2-(671)627-4588
Judy Hawkins	8-(780)839-0849
Denise Garrett	7-(209)027-9869
Lois Austin	5-(724)553-4524
Cheryl Ferguson	4-(345)765-5121
Norma Evans	2-(038)007-2235
Tammy Bryant	5-(016)517-1778
Sandra Fowler	7-(120)737-1209
Janice Dean	2-(962)068-1368
Jean Williamson	5-(874)589-0806
Jean Carpenter	9-(476)806-2633
Deborah Ross	1-(094)600-6822
Virginia Knight	3-(253)034-7306
Joyce Williamson	9-(600)394-2505
Barbara Ferguson	7-(532)023-8063
Christine Hanson	6-(519)467-2907
Tammy Elliott	7-(468)687-9176
Doris Mills	5-(567)126-4266
Rachel Hunt	2-(165)421-4895
Doris Welch	4-(694)645-1446
Linda Cook	9-(366)686-0255
Sarah Long	2-(061)285-1841
Jessica Olson	5-(886)640-4093
Denise Foster	2-(052)033-5636
Kelly Fowler	1-(307)709-8572
Rachel Arnold	3-(813)433-7309
Judith Thomas	8-(096)903-1728
Virginia Rivera	2-(108)405-1965
Beverly Gutierrez	9-(998)725-4666
Christine Rose	2-(033)250-9060
Jacqueline Jackson	5-(064)590-8551
Susan Snyder	8-(200)625-5360
Barbara Cunningham	0-(686)611-0023
Lisa Day	8-(529)040-3657
Nancy Little	9-(925)811-6084
Lois Matthews	0-(004)402-1134
Heather Alvarez	1-(623)642-5323
Jessica Brown	3-(734)298-4221
Annie Mcdonald	8-(757)598-3184
Donna Williams	9-(540)383-6055
Tina Roberts	7-(624)686-3915
Sandra Greene	1-(175)645-6010
Stephanie Perkins	5-(113)659-1225
Marie Grant	5-(103)314-1860
Christina Ryan	2-(098)920-1141
Virginia Graham	9-(100)047-4926
Stephanie Stanley	7-(249)360-2531
Betty Watkins	5-(284)287-9855
Jessica West	3-(830)711-8131
Evelyn Morrison	9-(847)673-2990
Ruth Carpenter	2-(809)549-7249
Emily Sanchez	5-(112)370-7658
Mildred Peters	9-(025)617-5879
Ashley Lane	6-(215)164-6187
Judith Kim	6-(948)708-4649
Ann Flores	5-(518)267-0148
Sara Riley	7-(087)097-1000
Norma Berry	3-(203)246-5142
Donna Gomez	4-(731)845-7651
Anne Mendoza	8-(358)111-7266
Debra Gibson	3-(144)982-5615
Martha Sanchez	5-(750)870-7247
Annie Johnson	9-(687)644-1314
Stephanie Gutierrez	8-(609)158-8462
Tammy Matthews	3-(939)466-1346
Paula Ramirez	1-(410)101-1293
Gloria Lee	6-(107)084-0401
Irene Cruz	1-(540)127-7637
Janet Brown	7-(628)756-6626
Andrea Gutierrez	4-(015)803-3113
Christine Walker	8-(269)701-9918
Martha Ray	1-(536)675-8844
Marie Matthews	9-(353)433-7428
Patricia Duncan	6-(892)759-6274
Christine Ellis	2-(666)614-6595
Martha Mills	4-(965)699-6767
Nicole Roberts	6-(951)557-0570
Wanda Burns	7-(647)644-8403
Julia Bradley	6-(900)126-9865
Jacqueline Roberts	7-(063)134-4848
Andrea Matthews	1-(768)883-7148
Phyllis Wright	3-(867)065-6922
Rachel Richardson	9-(062)579-1278
Theresa Cole	8-(664)997-3880
Rose Garrett	7-(183)967-2236
Ann Bowman	2-(001)172-3136
Teresa Pierce	9-(141)858-0269
Kelly Mccoy	7-(130)050-9224
Evelyn Parker	0-(656)164-4975
Kathleen Diaz	5-(069)799-2720
Irene Mendoza	5-(588)257-3699
Ashley Gardner	6-(987)803-8553
Sara Reed	2-(822)451-4068
Lois Kelly	0-(393)897-4881
Amanda Barnes	8-(528)007-0855
Gloria James	3-(149)407-5431
Janice Mason	6-(910)671-4581
Denise Clark	4-(562)336-1625
Ruth Peterson	1-(361)438-3841
Ashley Grant	2-(591)437-8497
Carol Chavez	2-(587)809-1775
Katherine Edwards	2-(410)596-7739
Diana Snyder	5-(097)950-6932
Carol Lewis	3-(238)341-1779
Robin Griffin	7-(742)595-4890
Evelyn Wood	0-(690)162-7928
Wanda Long	9-(534)403-1369
Patricia Schmidt	1-(967)832-3105
Amy Carr	4-(232)174-3354
Andrea Bishop	4-(022)183-4176
Nicole Rice	6-(880)286-0538
Kimberly Taylor	9-(430)562-7707
Katherine Ferguson	9-(170)772-9545
Cheryl Washington	3-(618)449-3015
Deborah Wagner	2-(752)508-6636
Robin Burke	9-(949)262-4402
Melissa Elliott	8-(025)727-4225
Anne Fowler	1-(958)415-5951
Kathleen Morales	6-(395)156-3240
Diane Howard	3-(666)695-3890
Kelly Hansen	8-(188)489-2365
Nancy Sims	3-(877)841-3711
Stephanie Carr	5-(353)162-7131
Norma Harvey	2-(563)273-6733
Elizabeth Hamilton	6-(699)036-3776
Denise Flores	0-(547)095-9229
Frances Sanchez	6-(697)322-8013
Michelle Day	4-(651)722-5274
Brenda Marshall	8-(296)436-4452
Rebecca Turner	7-(048)099-6717
Sara Snyder	4-(524)801-0971
Pamela Mitchell	6-(644)094-4170
Stephanie Sullivan	0-(781)869-0796
Heather Boyd	2-(902)401-4409
Rose Martinez	7-(488)904-4003
Janet Mitchell	9-(350)090-7425
Amanda Porter	9-(186)163-0500
Barbara Lawson	9-(165)035-2097
Mary Crawford	3-(952)142-1321
Gloria Crawford	9-(846)184-2951
Ruby Medina	1-(583)315-1730
Susan Welch	0-(261)040-3464
Martha Watkins	3-(302)638-0702
Karen Cooper	4-(767)716-1455
Emily Hudson	7-(448)168-9490
Nicole Rivera	4-(253)762-2679
Cheryl Ryan	5-(549)037-7350
Marilyn Kim	6-(105)048-6673
Dorothy Daniels	3-(382)753-4616
Betty Baker	2-(129)272-4944
Joyce Fields	9-(666)789-1112
Phyllis Warren	0-(582)367-6161
Elizabeth Murray	1-(540)817-8089
Norma Stewart	1-(681)069-8764
Jacqueline Larson	5-(458)280-3418
Debra Fowler	5-(758)668-5697
Norma Hicks	4-(814)188-5221
Louise Richards	8-(828)755-7263
Angela Gonzales	1-(612)937-6690
Ann Freeman	0-(368)658-6894
Joyce Hayes	5-(675)049-3676
Tammy Carpenter	5-(868)641-8754
Sharon Carter	1-(250)970-1293
Judith Hicks	4-(170)871-4389
Linda Gibson	1-(596)998-5489
Kathryn Hamilton	5-(037)566-1991
Virginia Dixon	2-(262)136-5608
Evelyn Howard	9-(019)731-8313
Ruby Stevens	7-(198)306-1269
Virginia Bryant	9-(918)933-5568
Judy Murphy	1-(029)345-5413
Jane Morrison	0-(839)833-3735
Dorothy Baker	2-(876)755-5537
Gloria Adams	3-(217)869-3663
Kimberly Peters	3-(505)815-4520
Margaret Perez	9-(175)320-8386
Lori Bailey	2-(213)654-6358
Lois Taylor	5-(085)075-4512
Nicole Carter	3-(304)984-6282
Susan Thomas	8-(941)854-3464
Sarah Kelly	5-(515)161-5982
Lillian Crawford	4-(333)385-4950
Sara Myers	4-(221)262-3449
Marilyn Hunt	6-(641)955-7203
Elizabeth Scott	0-(472)945-1403
Alice Jenkins	3-(360)482-2240
Anna Johnston	1-(985)323-8855
Cynthia Bishop	1-(944)480-5847
Irene Cooper	8-(461)523-8476
Jessica Davis	9-(403)643-0807
Louise Sullivan	0-(447)570-2031
Phyllis Garcia	1-(136)849-3603
Karen Reynolds	2-(564)434-9213
Nancy Berry	2-(134)263-0232
Melissa Alvarez	1-(665)578-7614
Patricia Nelson	3-(881)760-9275
Tina Lewis	4-(873)407-6915
Kathy Hawkins	8-(062)582-2911
Julia Allen	1-(008)102-4219
Diana Rose	2-(605)892-8050
Diana Wilson	1-(934)543-4852
Sandra Hamilton	8-(760)677-7562
Stephanie Griffin	6-(134)469-3746
Frances Bryant	9-(543)744-9393
Barbara Cooper	5-(959)740-5873
Sarah Vasquez	6-(044)806-0755
Wanda Kim	9-(438)560-7258
Debra Andrews	7-(448)095-0573
Jennifer Walker	8-(565)205-9298
Julia Johnston	9-(213)521-9262
Evelyn Greene	5-(603)559-8793
Carolyn Burton	3-(834)214-3123
Helen Alvarez	8-(701)595-4494
Frances Griffin	1-(692)653-8506
Ashley Butler	5-(563)619-1848
Lori Collins	0-(366)410-1116
Martha Medina	3-(170)597-4044
Cynthia Webb	9-(407)083-0373
Christina Vasquez	7-(080)933-3806
Evelyn Ross	5-(253)276-8763
Evelyn Patterson	7-(896)343-9602
Rose Marshall	0-(524)444-4795
Carol Sanchez	1-(305)758-5942
Karen Mccoy	7-(491)698-0572
Marie Greene	0-(508)102-9690
Tina Bennett	3-(323)518-9073
Martha Graham	0-(240)703-6628
Carolyn Wagner	3-(911)443-2082
Cheryl Kelly	1-(834)596-1773
Virginia Garza	1-(070)395-7643
Julie Fernandez	4-(805)074-2930
Barbara Chapman	3-(488)929-5430
Kathleen Welch	2-(254)197-0186
Angela Reed	2-(246)893-8038
Annie Gutierrez	1-(038)948-1563
Kathleen Robertson	2-(346)108-8123
Debra West	6-(135)027-3809
Angela Marshall	5-(122)297-4569
Gloria Matthews	9-(150)191-2438
Laura Hicks	9-(686)885-0100
Denise Howell	7-(015)385-8574
Kathy Welch	8-(997)091-6407
Debra Hart	3-(277)312-5707
Frances Jackson	0-(020)393-4380
Ruby Mitchell	2-(779)183-2118
Diane Chapman	1-(113)502-0098
Nancy Frazier	0-(427)294-2122
Tina Evans	8-(595)160-1501
Ashley Peterson	8-(459)988-4252
Carolyn Carroll	9-(468)306-8949
Wanda Gonzalez	3-(934)077-8501
Julie Mccoy	8-(201)435-0811
Marie Burns	0-(849)408-1952
Wanda Murphy	1-(880)338-4660
Marilyn Sims	2-(787)731-7490
Virginia Stephens	2-(698)175-4568
Jacqueline Rogers	8-(645)474-8944
Evelyn Palmer	5-(838)894-8756
Amy Nelson	3-(375)736-4544
Teresa Robertson	3-(717)665-2259
Andrea Robertson	7-(086)931-1481
Mildred Diaz	3-(117)883-3850
Amy Matthews	8-(814)203-7303
Jacqueline Burton	0-(126)796-0359
Sarah Andrews	8-(222)079-9599
Beverly Hayes	2-(637)736-7236
Frances Simmons	0-(641)520-2590
Karen Smith	9-(395)803-0263
Virginia Patterson	9-(093)622-9021
Sandra Morales	1-(857)772-2582
Judy Hayes	5-(808)432-4495
Joan Banks	5-(717)905-2782
Andrea Gonzalez	4-(877)339-2734
Kathy Dean	8-(333)333-7644
Christina Jenkins	8-(203)964-7819
Kimberly Stanley	6-(266)042-2765
Michelle Perkins	3-(617)192-1005
Dorothy Mitchell	6-(269)817-6134
Kathleen Weaver	1-(619)989-7372
Jean Andrews	3-(740)210-3268
Barbara Rogers	3-(714)653-1794
Rachel Butler	8-(918)963-6369
Melissa Cole	0-(377)276-1642
Heather Sanchez	7-(742)181-2755
Marilyn Hayes	6-(802)986-2353
Judith Hudson	0-(758)082-7519
Sandra Day	9-(621)038-9761
Patricia Sanders	9-(912)800-3558
Bonnie Lopez	8-(706)325-8614
Christine Woods	6-(359)915-9722
Frances Reid	7-(920)703-0243
Ann Henderson	5-(355)433-0962
Kimberly Gray	1-(558)680-8155
Ann Austin	0-(977)395-1554
Martha Lane	3-(420)952-3780
Christina Stevens	2-(560)241-3632
Virginia Johnston	6-(529)494-4870
Irene Castillo	3-(476)207-5261
Annie Warren	8-(796)057-4414
Jacqueline Fuller	4-(098)514-1824
Anna Barnes	8-(114)432-0133
Nicole Sanchez	1-(865)341-2983
Paula Sanders	4-(199)070-4653
Melissa Bradley	7-(195)973-7085
Katherine Mendoza	3-(633)170-6953
Katherine Parker	0-(167)755-7876
Amy Brown	4-(422)294-4936
Amanda Jackson	4-(589)114-3489
Rose Brooks	1-(764)329-1055
Doris Foster	1-(453)285-6840
Alice Fowler	9-(714)867-5731
Cynthia Roberts	9-(531)296-7248
Sharon Ferguson	9-(733)933-4768
Helen Morgan	4-(027)111-5644
Kathy Allen	1-(566)081-2720
Kathleen Harrison	7-(979)994-6130
Laura Robinson	1-(970)341-3738
Tina Burton	3-(216)673-7612
Marie Diaz	5-(955)382-0199
Stephanie Medina	8-(584)617-8720
Michelle Morales	2-(249)973-0488
Marie Mason	8-(635)583-2887
Margaret Perry	2-(378)978-5100
Pamela Moore	7-(532)594-3365
Tammy Gonzales	9-(894)192-2739
Heather Mcdonald	3-(553)631-1198
Shirley Henry	6-(106)406-4470
Barbara Hansen	7-(587)755-2258
Paula Brooks	2-(841)017-7646
Jane Hamilton	4-(354)132-9299
Marilyn Rose	0-(298)565-9569
Andrea Reynolds	8-(996)706-0972
Amanda Edwards	3-(042)440-2174
Betty Morgan	5-(482)660-5330
Deborah Phillips	9-(743)507-3182
Amanda Perkins	3-(020)603-8775
Lisa Fields	7-(621)053-5446
Denise Gray	7-(168)282-4693
Louise Ramos	4-(157)336-3717
Brenda Kim	2-(627)659-3203
Karen Stone	1-(022)791-7267
Ashley Ruiz	3-(570)427-1855
Kathy Fields	0-(502)803-1293
Judith Perkins	2-(802)260-2382
Janet Frazier	9-(197)675-3464
Elizabeth Adams	6-(659)339-9460
Frances Foster	0-(990)666-0189
Denise Morales	5-(057)773-3530
Linda Davis	0-(134)266-6142
Kathryn Hansen	7-(485)541-6709
Andrea Greene	3-(528)310-1061
Teresa Jackson	8-(287)236-9549
Ruth Rogers	8-(079)293-0298
Teresa Lawrence	8-(493)904-3365
Pamela Wallace	7-(209)646-2018
Anne Coleman	6-(781)515-5622
Anna Lewis	1-(259)950-1800
Jennifer Gonzalez	2-(280)869-6372
Tammy Day	9-(870)459-9279
Martha Oliver	9-(059)615-4822
Marie Garrett	4-(367)743-9556
Joan Bowman	2-(307)266-4475
Kimberly Freeman	8-(341)888-8892
Catherine Wright	8-(735)982-5948
Marie Robinson	4-(907)491-5948
Karen Wells	9-(967)439-3533
Margaret Sims	9-(453)063-0007
Robin Crawford	3-(936)027-2075
Beverly Smith	0-(253)901-4140
Pamela Gilbert	8-(048)208-4881
Stephanie Long	5-(961)971-3655
Anna Thompson	2-(314)927-1821
Lois Carroll	4-(657)140-8029
Julia Berry	9-(153)154-7964
Norma Austin	4-(685)513-9859
Teresa Rose	8-(149)694-7131
Sara Lopez	5-(166)246-2984
Emily Schmidt	6-(809)672-8804
Michelle Cunningham	1-(441)892-9509
Kelly Crawford	2-(599)174-3847
Maria Stanley	4-(390)843-8322
Elizabeth Owens	6-(967)638-5724
Ruth Garrett	9-(324)491-0352
Margaret Graham	4-(931)842-2187
Andrea Morris	2-(145)747-8959
Amanda Tucker	9-(377)709-5471
Andrea Morris	0-(173)155-9054
Elizabeth Watkins	2-(593)496-8680
Stephanie Hart	8-(423)784-7895
Amy Elliott	3-(561)384-9767
