Marilyn Hayes	6-(540)865-2507
Ashley Franklin	5-(256)539-9000
Barbara Wagner	4-(890)711-9104
Marilyn Oliver	9-(867)456-2755
Paula Evans	4-(711)750-8941
Maria Ferguson	8-(803)577-2785
Diane Smith	8-(739)464-2503
Teresa Diaz	5-(246)974-5206
Rachel Reyes	3-(155)678-7041
Christine Wright	8-(188)012-7043
Frances Russell	8-(871)274-8038
Dorothy Woods	9-(887)688-8031
Robin Watson	2-(949)331-8605
Judith Kim	2-(930)625-8579
Tina Reid	7-(172)408-5511
Tammy Jones	5-(507)232-8085
Ann Marshall	8-(575)254-2251
Kelly Green	8-(189)692-4197
Lillian Fowler	3-(434)083-1391
Theresa Meyer	0-(347)108-0949
Frances White	3-(503)862-7436
Marilyn Andrews	9-(131)202-7769
Margaret Sanchez	0-(319)973-5006
Kathryn Andrews	9-(804)381-9889
Phyllis Wilson	6-(735)066-8074
Annie Baker	8-(044)755-6787
Kathryn Garza	3-(032)928-0095
Catherine Taylor	0-(223)731-6800
Gloria Matthews	1-(499)972-5118
Elizabeth Walker	1-(400)343-3079
Lillian Ellis	0-(731)633-5051
Carolyn Lopez	8-(265)118-7785
Gloria Ward	1-(141)484-1202
Diana Harper	3-(311)632-4775
Norma Diaz	2-(349)695-1201
Diane Hicks	7-(452)687-7116
Maria Webb	1-(252)652-1520
Laura Sanders	1-(301)892-5587
Jessica Freeman	3-(548)576-3073
Nancy Spencer	5-(954)103-0114
Elizabeth Wright	1-(045)790-1270
Judy Howard	5-(696)369-6307
Kathleen Perry	0-(348)786-7821
Karen Rodriguez	7-(036)124-1510
Kathryn Hunt	6-(008)967-2964
Christina Sanders	4-(338)985-5834
Sarah Watkins	6-(346)849-7407
Tina Garza	8-(176)008-6084
Teresa Williamson	2-(312)748-8276
Tina Welch	1-(533)303-4418
Ann Hughes	3-(088)370-4074
Jennifer Roberts	9-(186)733-9265
Linda Harvey	8-(791)267-9490
Pamela Andrews	9-(519)407-9024
Rebecca Howell	0-(269)579-8123
Rebecca Alvarez	1-(124)016-5479
Frances Taylor	4-(515)967-6568
Judy Rice	6-(825)226-2963
Amy Nichols	2-(826)506-6626
Irene Brown	2-(596)246-5505
Julie Lane	2-(813)693-1040
Amy Howard	0-(314)451-7013
Ruth Gutierrez	9-(237)981-3484
Ann Ruiz	2-(635)665-0620
Anna Perkins	6-(625)577-4770
Stephanie Lee	3-(495)974-2194
Ashley Cook	7-(626)364-1270
Andrea Gutierrez	2-(058)765-1369
Linda Peters	7-(706)393-7202
Anna Thomas	1-(506)539-2552
Christina Hanson	5-(900)387-7017
Lisa Fowler	1-(316)458-0303
Beverly Gordon	7-(500)851-7558
Cheryl Palmer	1-(037)061-2868
Kathryn Greene	7-(022)327-0345
Julia Martinez	5-(192)937-4601
Paula Graham	6-(636)868-0288
Julia Wallace	5-(386)028-2156
Sharon Nguyen	5-(828)437-7538
Kathryn Patterson	8-(678)768-2664
Jennifer Garcia	3-(628)692-8154
Jean Mccoy	6-(958)663-5769
Sandra Day	1-(537)514-6683
Jacqueline Allen	2-(848)199-5174
Cynthia Cooper	9-(879)129-1540
Carolyn Ruiz	0-(601)627-5454
Ruby Cox	9-(226)388-0611
Linda Freeman	8-(081)750-4302
Diana Woods	4-(346)365-1154
Stephanie Long	5-(882)422-3773
Andrea Nguyen	9-(102)998-1475
Linda Jenkins	5-(823)518-2200
Debra Payne	8-(479)280-3894
Kathryn Fields	4-(537)562-2204
Lisa Griffin	9-(197)765-7820
Donna Berry	0-(798)455-4882
Rose Porter	3-(471)912-6997
Mildred Edwards	1-(217)030-4368
Christina Mendoza	1-(415)993-6337
Rebecca Perez	8-(164)588-7819
Beverly Barnes	2-(497)468-6383
Doris Garza	2-(314)464-1280
Catherine Robertson	9-(832)153-8873
Carol Ruiz	9-(002)405-1408
Joyce Thomas	3-(375)710-6092
Heather Porter	6-(749)478-9293
Frances Nguyen	4-(030)704-5463
Ann West	1-(505)040-6151
Paula Gonzales	0-(563)641-6171
Kathryn Chapman	2-(697)109-2425
Debra Hudson	2-(359)377-8443
Katherine Burns	9-(460)903-3767
Evelyn Jordan	0-(696)407-7124
Phyllis Kelly	7-(969)524-0478
Debra Sanders	2-(105)267-9440
Lillian Sanders	7-(859)031-0032
Susan Torres	1-(997)318-3330
Barbara Bennett	5-(208)276-7419
Jane Moreno	2-(310)813-0135
Joan Edwards	6-(998)775-3559
Annie Lopez	3-(239)264-1900
Marie Davis	1-(075)278-3126
Christina Kelley	7-(376)725-6040
Janet Ruiz	1-(728)489-3719
Katherine Barnes	0-(155)239-7264
Norma Henderson	3-(550)147-5910
Margaret Garcia	1-(671)777-1470
Michelle Hunter	8-(682)384-8798
Julia Rice	1-(353)922-0373
Frances Clark	3-(072)429-5790
Diana Patterson	7-(674)832-6986
Kathryn Wood	9-(901)826-5259
Julie Hayes	3-(568)112-5033
Julie Willis	7-(489)571-4884
Mary Martinez	2-(851)398-0799
Phyllis Martin	0-(595)262-4084
Diana Daniels	1-(245)962-7381
Doris Jones	8-(061)252-2020
Anna Mendoza	7-(845)233-6056
Bonnie Williams	7-(417)462-0263
Sarah Williamson	7-(759)358-7599
Karen Martinez	3-(321)409-9176
Kathryn Jenkins	2-(097)118-9696
Jean Bishop	2-(732)421-6589
Jennifer Peterson	2-(099)156-3310
Kimberly Kim	9-(908)708-1958
Lois Scott	7-(954)501-7763
Debra White	0-(260)525-7610
Lois Allen	3-(831)416-4854
Melissa Cruz	7-(697)889-8137
Teresa Montgomery	1-(826)335-6648
Ann Matthews	6-(654)680-8491
Judith Cook	9-(483)601-4926
Barbara Knight	6-(583)974-6934
Marie Wheeler	3-(566)101-0720
Barbara Perkins	2-(494)835-4062
Dorothy Medina	2-(328)253-8681
Judith Cooper	6-(700)613-7380
Diane Mitchell	3-(627)595-8548
Kathy Black	9-(869)547-8060
Kimberly Taylor	0-(403)215-6288
Jennifer Greene	3-(828)751-9466
Janice Burton	2-(399)070-7968
Jessica Hanson	0-(180)216-7304
Phyllis Carter	8-(472)001-6575
Louise Sims	3-(346)597-5924
Sarah Berry	5-(575)167-9725
Virginia Perkins	9-(098)861-0231
Robin Fields	3-(282)935-2895
Helen Green	1-(661)115-0621
Amanda Reed	0-(402)583-5411
Rebecca Rodriguez	1-(667)784-2717
Stephanie Rose	4-(545)321-1212
Emily Pierce	3-(179)130-8897
Janice Anderson	1-(258)132-7656
Bonnie Lynch	4-(531)187-9981
Paula Gordon	5-(358)427-3528
Tina Gonzales	5-(396)152-5757
Bonnie Elliott	9-(908)586-3507
Mildred Robinson	9-(893)896-1038
Christine Stone	4-(285)327-3796
Amanda Wagner	8-(945)496-2539
Irene Watkins	4-(516)534-2833
Robin Garrett	8-(996)824-3714
Lois Palmer	1-(303)058-5876
Kelly Gonzales	2-(862)895-1299
Sharon Kelly	2-(231)559-7143
Ruby Meyer	8-(190)811-1596
Jennifer Rodriguez	7-(515)635-5047
Sharon Carr	3-(194)036-6852
Jacqueline Torres	9-(865)886-3119
Christine Russell	3-(566)439-8313
Lori Ford	2-(112)851-2970
Karen Edwards	7-(804)562-4755
Frances Butler	6-(312)362-9568
Doris Alexander	7-(548)998-8613
Teresa Ellis	1-(356)412-6006
Ashley Stephens	5-(383)341-8746
Ashley Jenkins	1-(344)630-1486
Tina Lee	7-(649)754-3657
Tina Sanders	3-(497)716-4279
Sarah Young	5-(378)080-8899
Janice Wallace	7-(040)788-6002
Jacqueline Jordan	3-(333)205-5056
Janet Wagner	8-(193)237-8086
Marie Foster	1-(696)751-4784
Deborah Hawkins	2-(820)919-6773
Norma Kennedy	9-(185)977-8641
Kathleen Freeman	2-(299)538-5294
Linda Kennedy	0-(411)652-1605
Susan Alvarez	2-(352)324-5696
Joan Torres	2-(194)928-6997
Donna Sims	5-(466)235-4769
Jessica Martinez	0-(486)144-5659
Janet Rivera	3-(044)034-7161
Heather Burke	0-(011)052-5001
Evelyn Hall	9-(137)584-2328
Patricia Powell	7-(865)035-1223
Tina Cunningham	9-(552)506-6723
Joan Kim	2-(091)358-7381
Jane Bryant	5-(702)362-6231
Kathleen Perkins	0-(855)947-4983
Tammy Gonzalez	9-(222)427-9716
Helen Nguyen	3-(390)300-4413
Paula Hernandez	2-(565)384-0270
Jean Lawrence	0-(378)381-8204
Wanda Webb	6-(209)604-4482
Lois Armstrong	9-(863)006-6773
Marilyn Hughes	5-(639)217-5533
Beverly Brown	9-(427)514-2337
Kelly Barnes	8-(232)315-9046
Kathleen Webb	8-(563)317-2937
Carol Collins	6-(856)686-6411
Amy Ellis	7-(272)481-7979
Susan Larson	5-(456)189-8265
Doris Henry	8-(177)244-2805
Debra Day	0-(840)011-0155
Laura Hall	4-(224)428-7282
Marie Bradley	5-(459)774-0449
Tina Stewart	6-(231)942-7838
Patricia Harrison	8-(233)700-3086
Jean Freeman	9-(958)888-5309
Martha Grant	1-(370)703-1451
Heather Riley	7-(349)953-9328
Jessica Garrett	6-(428)729-9582
Pamela Mills	2-(513)262-3271
Sara Thomas	6-(924)977-5198
Rachel Carpenter	1-(846)094-8611
Evelyn Frazier	4-(290)048-7737
Sara Pierce	3-(213)481-0084
Patricia Gray	0-(483)017-8812
Mary Green	5-(006)194-0890
Katherine Morgan	4-(009)487-5655
Joan Hayes	3-(523)937-2779
Denise Bell	1-(955)483-1169
Helen Collins	7-(084)634-5498
Jessica Franklin	3-(394)488-7521
Kathy Rivera	7-(171)134-0794
Ann Bradley	4-(484)866-7382
Deborah Reid	2-(079)698-8005
Cheryl Montgomery	8-(194)321-4623
Joyce Adams	2-(511)861-6587
Marilyn Riley	1-(283)759-7143
Bonnie Gordon	4-(550)701-7763
Sharon Snyder	3-(886)466-4962
Shirley Stanley	0-(250)409-9370
Margaret Hicks	4-(157)731-7203
Virginia Lynch	1-(430)836-2946
Phyllis Ryan	4-(661)481-2277
Elizabeth Carter	2-(334)159-4244
Nancy Walker	4-(166)727-0695
Heather Ford	0-(403)760-2329
Lois Kelly	8-(336)839-7102
Rebecca Dixon	8-(507)402-6302
Emily Gonzales	8-(082)313-3450
Mildred Hill	7-(352)764-4274
Betty Collins	4-(881)861-0051
Tina Wood	1-(363)580-6317
Betty Butler	6-(980)449-0131
Barbara Armstrong	1-(064)830-0158
Betty Reyes	1-(453)473-5099
Margaret Patterson	5-(512)884-9558
Deborah Hansen	8-(531)738-5033
Kathy Chapman	9-(226)845-5568
Elizabeth Patterson	3-(561)252-3208
Lisa Burton	4-(161)781-7747
Robin Gordon	6-(839)414-7859
Andrea Lawrence	9-(243)562-1967
Anne Cruz	5-(108)099-9258
Linda Williams	0-(740)772-3684
Louise Palmer	5-(669)558-1825
Dorothy Palmer	6-(245)831-7048
Katherine Hawkins	9-(173)485-9033
Heather Morgan	5-(671)258-0800
Phyllis Collins	4-(125)289-2268
Mary Rice	7-(488)235-6199
Paula Garza	5-(747)095-6133
Jennifer Moreno	3-(546)112-0482
Heather Wheeler	5-(708)238-0351
Catherine West	9-(914)651-9440
Gloria Rivera	2-(041)427-1479
Deborah Nguyen	3-(878)694-2700
Debra Carr	3-(536)556-0445
Maria Sanchez	7-(432)949-9843
Jane Carter	9-(869)882-9154
Amanda Harris	7-(330)479-1004
Angela Carr	3-(295)936-6820
Judith Day	1-(933)430-3583
Jane Dixon	5-(300)228-2846
Theresa Flores	1-(149)216-7178
Lori Stewart	9-(329)270-7183
Bonnie Peters	3-(377)422-3479
Brenda Garza	4-(248)930-9471
Diana Edwards	2-(704)044-1431
Marilyn Wilson	0-(770)006-5675
Catherine King	7-(164)259-2090
Judith Lawson	4-(274)204-9968
Amy Burton	9-(581)698-6509
Janice Daniels	3-(672)166-6631
Deborah Nichols	6-(225)696-9349
Jacqueline Garrett	6-(355)499-2992
Marie Jordan	2-(239)998-4650
Robin Burns	2-(349)438-8654
Dorothy Armstrong	4-(506)101-2825
Joan Murray	1-(362)164-2851
Anna Greene	7-(550)749-2344
Patricia Morris	9-(386)561-9948
Nancy Pierce	2-(925)822-9822
Frances Mason	2-(608)048-2157
Judith Stephens	5-(499)671-0169
Janice Rose	9-(440)603-4938
Jennifer Peters	9-(833)339-5594
Nancy Wheeler	4-(648)585-5453
Jean Bailey	3-(621)740-0812
Mary Turner	9-(379)402-5302
Lori Stanley	8-(972)335-5225
Tina Tucker	9-(260)162-6413
Kathleen Bennett	8-(831)818-2408
Tina Johnston	7-(598)988-4710
Barbara Bennett	5-(633)186-7219
Catherine Rice	2-(606)918-1547
Rose Woods	0-(202)412-3409
Dorothy Vasquez	6-(057)637-2864
Mildred Nichols	2-(397)050-7021
Heather Jordan	5-(850)924-7758
Maria Carroll	6-(510)567-7092
Wanda Hanson	2-(040)507-7077
Lois Coleman	6-(308)281-8143
Laura Bell	8-(189)048-4232
Anna Hicks	5-(715)107-8098
Kelly Spencer	3-(221)808-9792
Maria Graham	4-(828)425-1187
Wanda Diaz	8-(132)759-2630
Deborah Ward	4-(724)825-5425
Judy Meyer	6-(914)191-2696
Robin Campbell	9-(847)864-3588
Beverly Peterson	6-(160)598-2280
Sara Richardson	8-(573)999-7597
Amy Berry	1-(642)835-2612
Melissa Ramos	6-(746)532-4361
Maria Armstrong	1-(513)917-1077
Kimberly Franklin	1-(745)678-4766
Andrea Howard	4-(443)105-5815
Diane Freeman	8-(968)194-2963
Jean Ross	4-(650)131-5846
Michelle Carroll	6-(582)047-0822
Laura Chapman	7-(166)472-5200
Robin Carpenter	0-(185)885-3311
Maria Jackson	8-(835)233-6139
Marie Hayes	3-(247)644-9209
Phyllis Stevens	8-(295)129-2151
Linda Willis	8-(597)498-3015
Brenda Cole	1-(760)638-6288
Kathleen Hudson	0-(234)317-0162
Nancy Collins	1-(879)373-7383
Paula Hart	4-(834)192-9039
Rose Mcdonald	5-(142)845-1732
Karen Ferguson	7-(745)594-6717
Carol Chapman	0-(338)475-6028
Linda Parker	0-(488)157-4380
Katherine Shaw	8-(149)251-8801
Alice Bailey	8-(579)556-2632
Diana Collins	5-(744)811-2459
Doris Sanders	7-(599)172-3336
Jean Scott	4-(044)833-1091
Janet Hanson	5-(719)703-4349
Jessica Olson	7-(117)875-4532
Paula Chapman	3-(012)743-7114
Cheryl Harris	7-(865)312-7558
Martha Gibson	9-(147)522-0236
Amanda Snyder	4-(592)658-4961
Kathleen Burton	1-(854)523-3709
Janice Williamson	5-(224)723-6408
Dorothy Gomez	6-(052)991-4573
Tammy Little	1-(117)020-6553
Diana Daniels	9-(187)744-8483
Virginia Perry	6-(598)917-1463
Irene Baker	7-(064)831-2650
Pamela Ramirez	8-(976)035-8745
Jessica Ray	2-(212)251-2587
Wanda Sims	3-(532)390-9501
Julie Hayes	4-(282)612-6151
Martha Castillo	4-(637)406-4579
Wanda Hawkins	9-(393)588-7435
Diane Castillo	2-(870)277-2819
Marilyn Moreno	2-(734)492-2842
Janet Jones	9-(218)197-1607
Beverly Hudson	9-(356)981-5350
Nancy Mendoza	5-(641)730-3543
Alice Carr	7-(874)690-5964
Denise Barnes	1-(578)693-1617
Martha Moreno	9-(938)129-1699
Barbara Lewis	9-(842)081-5652
Rachel Peterson	2-(575)404-3289
Ruth Brown	8-(790)989-7415
Anne Sullivan	5-(921)688-2050
Mildred Taylor	7-(459)032-8367
Denise Chapman	5-(351)929-2438
Jessica Spencer	9-(338)257-3107
Emily Mcdonald	2-(944)653-3891
Donna Hamilton	3-(443)218-9674
Diana Mendoza	2-(006)032-3353
Robin Sanders	8-(849)956-1134
Nicole Hayes	8-(614)499-4137
Annie Welch	8-(005)855-1702
Martha Castillo	7-(182)035-2022
Nicole Burke	8-(571)311-8573
Doris Thomas	4-(979)232-4252
Tina Wood	2-(150)193-3177
Diane Simmons	0-(061)683-1500
Elizabeth Simmons	7-(203)480-2318
Robin Perkins	5-(951)515-8898
Judy Cooper	1-(433)898-6957
Judith Reid	3-(375)296-2888
Annie Kennedy	4-(918)183-6800
Julie Spencer	6-(780)880-4935
Kelly Bell	3-(778)380-7624
Catherine Fowler	2-(917)473-3705
Amanda Martinez	3-(202)430-8246
Ann Harper	4-(800)946-9630
Emily Johnston	2-(160)547-9031
Marie Greene	0-(612)910-8160
Marilyn Brooks	7-(925)752-3407
Rose Perry	2-(039)527-4655
Shirley Howell	7-(914)880-2158
Donna Crawford	9-(094)743-0638
Lillian Moreno	2-(281)445-9678
Virginia Rivera	9-(873)728-4789
Bonnie Clark	6-(273)121-2832
Tammy Daniels	9-(026)177-6545
Ashley Howard	2-(514)910-7663
Teresa Hicks	8-(638)698-5456
Lori Perez	9-(931)819-3151
Susan Henderson	3-(232)916-9082
Nancy Dean	3-(037)661-2892
Rebecca Dixon	8-(859)162-4917
Emily Wright	6-(484)354-7318
Irene Alexander	2-(045)192-3613
Maria West	0-(197)058-1457
Jane Alvarez	3-(431)566-8710
Lois Ferguson	7-(579)467-8471
Annie Stewart	9-(033)810-7925
Carol Perkins	9-(867)254-2337
Robin Carroll	2-(265)258-0950
Pamela Reed	9-(182)110-8169
Phyllis Price	3-(144)784-2078
Paula Owens	8-(593)012-2462
Julia White	2-(200)064-7721
Cynthia Oliver	8-(125)347-2600
Katherine Clark	8-(289)533-6317
Stephanie Ramos	8-(422)221-5785
Pamela Palmer	7-(161)770-6707
Doris Perry	4-(141)534-8154
Lois Brooks	3-(241)131-8084
Gloria Harvey	2-(170)609-3964
Shirley Simpson	2-(338)785-1361
Teresa Ruiz	6-(743)288-7782
Annie Thompson	5-(182)557-0445
Irene Webb	6-(301)419-8530
Betty Alvarez	9-(310)147-1879
Elizabeth Fox	9-(392)082-4540
Barbara Butler	4-(612)627-1882
Jessica Rodriguez	4-(487)787-3012
Kimberly Gonzales	9-(602)434-6659
Nicole Stanley	1-(867)960-0694
Carolyn Franklin	8-(950)036-5253
Kathryn Dunn	7-(032)846-2738
Teresa Cunningham	5-(282)144-9201
Martha Stone	9-(101)687-1203
Tammy Wells	1-(888)480-8613
Sarah Chapman	4-(838)824-2319
Sarah George	1-(330)469-2109
Sara Shaw	9-(245)869-7615
Evelyn Tucker	8-(090)257-9800
Brenda Hall	4-(387)342-6285
Lois Banks	8-(107)971-3519
Janice Carter	9-(023)505-2878
Shirley Dixon	4-(429)633-5526
Paula Harper	8-(185)312-7667
Kathy Jordan	1-(569)634-2296
Norma Palmer	6-(377)911-3799
Anna Wood	3-(987)100-6929
Betty Hudson	6-(913)548-3117
Amy Harrison	2-(747)990-1310
Joyce Frazier	7-(489)621-4992
Diane Brown	3-(519)181-2829
Katherine Mendoza	3-(476)869-5467
Sharon Morales	6-(672)377-5188
Karen Rice	4-(224)576-0634
Virginia Bennett	3-(160)651-1456
Christina Lawrence	6-(458)351-7800
Jacqueline Gordon	0-(330)656-4459
Lois Gonzalez	2-(973)298-2995
Marilyn Richardson	3-(555)653-0731
Deborah Spencer	9-(622)929-3397
Wanda Woods	1-(122)279-2367
Kelly Lee	8-(467)239-6521
Tina Williams	3-(409)144-9426
Julie Frazier	3-(331)684-2624
Tammy Ellis	7-(736)210-5759
Michelle Chapman	4-(019)497-0661
Phyllis Cook	0-(057)698-6567
Dorothy Jacobs	8-(386)383-1536
Helen Ward	7-(152)723-9739
Ruby Marshall	7-(067)862-3936
Judy Perkins	2-(077)358-8319
Melissa Sanchez	1-(789)667-9370
Emily Austin	1-(267)746-9352
Ruth Richardson	3-(899)892-3589
Janet Elliott	7-(061)179-8783
Patricia Grant	9-(253)967-3368
Bonnie Williamson	4-(475)081-3968
Deborah Ford	3-(691)464-9549
Joyce Ruiz	6-(888)060-6948
Elizabeth Henderson	2-(718)989-7944
Julia Castillo	7-(140)054-7447
Ashley Franklin	5-(031)737-6389
Irene Jordan	6-(074)460-3214
Brenda Cruz	5-(118)239-8214
Kelly Gardner	4-(931)687-0025
Evelyn Montgomery	8-(746)337-0535
Janice Wood	0-(570)214-9185
Ann Medina	1-(793)817-1517
Cynthia Jacobs	9-(824)799-8881
Doris Weaver	6-(378)176-4646
Tina Banks	2-(631)309-8709
Helen Dunn	9-(733)600-8607
Christina Matthews	8-(256)620-9537
Debra Jordan	3-(769)503-9842
Emily Hansen	1-(386)515-3135
Rachel Gonzales	1-(417)002-1856
Robin Parker	9-(641)803-0601
Lillian Frazier	6-(549)428-5912
Sara Griffin	0-(900)758-0073
Christina Little	2-(667)611-9570
Kelly Boyd	2-(993)090-3159
Frances Mitchell	6-(142)472-0969
Donna Arnold	1-(417)284-2584
Tina Cole	1-(835)370-3259
Marilyn Harrison	2-(790)068-2008
Katherine Hunt	2-(479)559-1946
Jane Wilson	5-(014)194-1072
Emily West	7-(816)146-2823
Cheryl Garza	0-(636)795-8555
Ann Knight	7-(050)608-5034
Tammy Richardson	8-(579)734-1318
Theresa Greene	7-(510)110-2071
Mildred Fowler	2-(063)439-1264
Kelly Holmes	6-(251)247-4486
Andrea Richardson	5-(921)411-8271
Jacqueline Stephens	1-(474)570-7041
Lisa Stanley	7-(301)465-1318
Robin Gordon	8-(027)858-4646
Bonnie Romero	5-(622)158-1208
Carolyn Ellis	7-(243)709-8660
Frances George	3-(362)053-2717
Dorothy Taylor	7-(114)468-8903
Joyce Mitchell	5-(714)295-9034
Judith Fox	4-(822)439-9474
Sandra Walker	9-(023)827-0419
Helen Rice	6-(510)956-5844
Gloria Scott	6-(342)846-3513
Jacqueline Rivera	9-(592)185-4967
Cheryl Perry	9-(244)523-2139
Theresa Montgomery	5-(115)307-7437
Amanda Howell	9-(133)288-0647
Emily Williams	3-(686)484-7684
Debra Hamilton	7-(457)742-8689
Lois Johnson	5-(240)258-7078
Stephanie Morgan	0-(028)237-0282
Deborah Baker	3-(899)460-9075
Gloria Campbell	5-(692)984-2890
Jennifer Reed	8-(559)578-5607
Kelly Burns	1-(206)372-0265
Linda Lawrence	5-(207)259-7944
Anna Chavez	0-(373)421-2239
Julia Hernandez	8-(654)445-8637
Sarah Coleman	6-(089)967-1467
Jean Bradley	9-(897)826-7008
Angela Alvarez	0-(353)869-9982
Julie Chavez	7-(667)097-8181
Diana Parker	8-(741)785-0529
Elizabeth Wells	5-(565)279-1072
Alice Frazier	5-(929)756-5341
Amanda Olson	9-(940)277-1983
Amanda Jackson	1-(785)768-4470
Kelly Bailey	5-(356)783-3243
Kimberly Woods	0-(254)707-9701
Annie Williamson	1-(914)743-4075
Julie Larson	8-(178)931-1795
Nicole Morgan	2-(482)262-9353
Sharon Schmidt	4-(757)893-4228
Dorothy Rivera	2-(092)705-2776
Maria Phillips	9-(758)728-6743
Angela Snyder	5-(019)466-2070
Tina Gonzales	0-(902)163-8114
Dorothy Carr	4-(495)238-2498
Wanda Mcdonald	3-(671)936-6391
Alice Sullivan	0-(359)117-7886
Teresa Robertson	2-(890)770-5831
Robin Peters	0-(993)992-5367
Stephanie Fisher	5-(494)537-2683
Marilyn Matthews	1-(077)719-7159
Lillian Price	8-(018)810-3719
Theresa Garza	6-(486)365-2886
Jacqueline Mills	7-(402)306-1312
Norma Gray	4-(049)593-6234
Carol Clark	3-(496)737-4862
Theresa Lane	1-(934)246-5335
Teresa Hanson	5-(920)922-5779
Phyllis Powell	0-(196)061-2067
Tammy Smith	3-(263)386-9846
Ashley Woods	8-(099)158-1920
Judith Carter	3-(719)595-2830
Lisa Cooper	1-(089)960-7870
Julie Scott	2-(699)793-4368
Susan Woods	3-(476)949-2995
Jean Flores	9-(393)712-0149
Helen Cooper	3-(897)977-1365
Marilyn Bryant	7-(335)023-8677
Joyce Garrett	0-(589)048-0077
Irene Bennett	1-(732)379-5672
Kathryn Perkins	7-(121)724-3136
Lisa Fox	0-(529)263-5612
Mary Morrison	0-(905)116-4748
Frances Jackson	7-(465)919-2824
Heather Lawson	8-(042)090-4125
Theresa Ortiz	5-(080)642-6434
Judy Butler	1-(565)657-9941
Ashley Gray	6-(336)555-5202
Sharon Peterson	8-(390)610-6783
Karen Wells	4-(897)741-2225
Patricia Hughes	6-(171)443-1766
Lillian Welch	8-(336)277-8761
Rose Ray	6-(235)686-3470
Emily West	0-(201)646-4182
Martha Turner	9-(507)550-8714
Carol Lawrence	2-(435)425-2166
Ashley Barnes	3-(878)601-8159
Nicole Willis	2-(985)515-4881
Norma Fisher	3-(768)062-3990
Beverly Mccoy	5-(261)256-3787
Pamela Gilbert	0-(731)514-8476
Phyllis Meyer	6-(381)113-0784
Evelyn Sullivan	7-(617)349-6112
Julie Wilson	7-(436)931-1020
Julie Morales	3-(511)003-9809
Carol Berry	6-(992)828-7075
Carolyn Dean	7-(538)103-1538
Jane James	2-(370)057-2673
Wanda Hall	3-(193)017-9997
Linda Rice	9-(814)653-0911
Tammy Patterson	7-(960)067-2608
Pamela Martinez	6-(172)648-5008
Beverly Rose	8-(254)777-5266
Ruby Grant	8-(354)509-2106
Janice Robinson	2-(534)436-4073
Tina Campbell	8-(755)043-7546
Phyllis Campbell	8-(893)140-6797
Barbara Moore	8-(006)996-8842
Emily Taylor	5-(220)892-0789
Ruby Dunn	1-(934)087-4618
Norma Phillips	4-(789)099-4995
Lisa Hill	1-(940)095-2016
Lisa West	1-(992)329-3051
Rose Owens	1-(226)117-8689
Carol Reid	4-(875)536-5524
Jacqueline Butler	2-(392)245-7445
Pamela Peters	5-(278)706-3271
Gloria Dixon	5-(144)858-9975
Marilyn Morgan	3-(902)562-9281
Robin Hunt	2-(220)739-1974
Robin Armstrong	5-(772)547-7130
Sarah Graham	9-(050)901-2057
Sarah Martinez	5-(884)370-2876
Beverly Rodriguez	6-(394)026-2221
Nicole Miller	9-(329)203-2345
Helen Wagner	0-(438)713-6441
Kathryn Sanders	7-(034)919-7925
Virginia Lee	4-(939)259-0629
Robin Medina	9-(619)652-0631
Cheryl Kelly	6-(971)269-8621
Julie Lynch	9-(904)095-5383
Patricia Hanson	0-(911)996-1956
Patricia Gutierrez	2-(705)979-3632
Stephanie Wright	2-(001)293-1031
Cheryl Walker	2-(682)393-0682
Sara King	0-(657)823-9536
Carolyn Ross	3-(094)684-7899
Kathy Palmer	8-(845)125-8674
Katherine Harrison	7-(079)941-1537
Evelyn Morris	3-(831)094-9709
Tammy Rivera	2-(671)589-9578
Karen Barnes	0-(691)857-3542
Shirley Scott	3-(667)113-2618
Jessica Garza	2-(447)300-2699
Sharon Cox	0-(025)747-7040
Melissa Bennett	6-(023)536-3648
Lois Hudson	2-(144)554-3176
Ashley Richards	0-(709)986-6044
Anne Turner	6-(365)750-2227
Cheryl Harper	1-(724)139-1999
Nicole Lynch	2-(068)864-5109
Judy Dean	5-(137)029-5796
Louise Lopez	3-(952)916-8071
Michelle Anderson	1-(743)751-8171
Susan Harper	1-(741)066-4060
Marilyn Allen	9-(627)497-8650
Robin Miller	6-(769)348-4461
Helen Myers	8-(468)396-0213
Irene Campbell	7-(968)501-3516
Jacqueline Hayes	7-(731)359-6236
Joyce Jones	4-(114)224-5039
Marie Bennett	6-(520)664-6634
Ruth Greene	4-(881)665-8451
Heather Alexander	7-(183)347-0407
Helen Flores	0-(028)266-6729
Heather Larson	8-(645)126-3531
Dorothy Riley	5-(221)230-2467
Sandra Young	1-(504)411-0581
Evelyn Coleman	9-(007)501-1822
Nicole Williams	7-(349)820-2561
Julia Bowman	3-(975)050-0943
Sara Shaw	6-(308)165-9923
Brenda Rodriguez	2-(693)003-6974
Judy Walker	5-(930)328-7772
Rose Howard	1-(918)195-9998
Kathy Fowler	5-(358)918-6888
Catherine Cole	8-(764)777-7565
Norma Mccoy	2-(826)157-8369
Pamela Grant	2-(441)878-9795
Janet Crawford	9-(987)611-0522
Shirley Fernandez	1-(399)416-3700
Louise Griffin	1-(909)493-5982
Ashley Carter	2-(744)865-3195
Denise Medina	1-(894)414-6356
Marilyn Bryant	5-(039)758-3666
Dorothy Lynch	1-(539)928-9928
Catherine Oliver	7-(642)321-1799
Donna Henry	9-(174)876-2131
