Karen Peters	0-(138)071-3364
Joan Austin	5-(509)716-1952
Margaret Lawson	2-(897)249-6841
Julia Brown	6-(096)424-8218
Evelyn Ray	0-(667)361-3641
Jacqueline Barnes	9-(871)117-0182
Lori Reyes	6-(572)784-9476
Sara Ferguson	0-(288)528-4870
Pamela Russell	8-(178)518-0829
Kelly Franklin	7-(838)284-3737
Katherine Dean	7-(636)412-8840
Cheryl Stanley	5-(548)181-4646
Elizabeth White	3-(509)323-7291
Teresa Bailey	9-(467)271-6683
Ann Reynolds	9-(447)762-4538
Christina Fowler	1-(619)986-7069
Sandra Henry	0-(252)193-8840
Annie Ruiz	7-(793)689-7401
Alice Mendoza	2-(796)838-8878
Beverly Hanson	4-(030)547-9222
Marilyn Hicks	7-(847)388-0907
Pamela Hanson	1-(985)555-9070
Ruth Ray	1-(121)668-5285
Jean Cole	0-(604)704-1995
Ann Butler	0-(936)536-0857
Tina Perkins	7-(437)695-6092
Judy Snyder	1-(386)346-0856
Louise Perkins	0-(914)961-2898
Cheryl Gibson	4-(595)739-6095
Donna Watson	5-(294)465-7885
Brenda Perez	0-(991)078-6825
Wanda Flores	2-(421)475-4760
Susan Snyder	2-(254)575-1750
Stephanie Crawford	4-(738)914-3784
Karen Hernandez	8-(956)152-1746
Ann Tucker	7-(601)920-8003
Janet Garza	7-(237)015-0082
Lisa Fisher	8-(919)433-9990
Elizabeth Graham	1-(201)661-6675
Jane Adams	6-(362)139-4546
Nicole Tucker	3-(871)068-3738
Carol Parker	9-(104)065-2425
Carol Roberts	5-(003)015-2904
Kathy Knight	7-(740)758-6419
Carol Hunter	2-(681)182-7858
Deborah Nichols	1-(169)323-7267
Brenda Warren	2-(097)651-9564
Joan Martin	9-(720)655-5731
Kathleen Green	6-(910)427-7047
Judy Smith	7-(044)921-5601
Julie Riley	3-(855)024-2037
Bonnie Rose	6-(912)726-8182
Mildred Frazier	9-(217)968-8854
Evelyn Mendoza	9-(275)798-4180
Lois Evans	3-(983)195-2000
Ann Spencer	5-(548)541-9585
Amanda Martinez	9-(768)166-9896
Stephanie Reed	3-(708)425-0555
Dorothy Dunn	2-(203)227-7652
Julie Freeman	8-(053)167-9155
Amy Williams	1-(991)185-5325
Angela Dixon	8-(154)086-4403
Helen Bell	3-(796)657-9306
Catherine Cunningham	2-(897)505-3027
Kathy Frazier	5-(645)264-0948
Tammy Hudson	2-(139)541-8632
Amy Reid	7-(233)952-2551
Judith Cooper	3-(652)886-5019
Julie Warren	5-(024)418-4441
Judith Hernandez	4-(699)219-1658
Kimberly Lopez	5-(781)024-5059
Rachel Lewis	8-(159)638-4877
Jessica Weaver	3-(554)582-2442
Helen Holmes	2-(218)711-9475
Lisa Jones	1-(642)888-5575
Beverly Chapman	7-(915)952-9322
Nancy Murphy	6-(410)860-2447
Elizabeth Wagner	4-(851)207-3105
Teresa Ford	4-(471)911-2927
Kathy Rodriguez	1-(406)758-4240
Teresa Hawkins	2-(391)061-9448
Norma Harrison	8-(222)764-8689
Teresa Bowman	1-(837)976-9735
Catherine Brooks	3-(096)760-0567
Brenda Hanson	0-(473)417-1066
Barbara Perez	5-(748)459-6104
Christine Chavez	0-(835)629-8667
Christina Holmes	5-(874)956-2588
Mary Ryan	7-(767)144-7386
Andrea Bailey	4-(384)440-0163
Tina Spencer	0-(009)441-5074
Beverly Tucker	1-(498)964-5641
Katherine Burns	8-(628)263-6634
Patricia Kennedy	8-(769)742-1227
Barbara Phillips	2-(401)438-6405
Judith Nichols	1-(242)897-1517
Helen Cruz	0-(768)067-5506
Nicole Robertson	7-(831)735-2930
Kathy Duncan	8-(791)506-3570
Stephanie Matthews	4-(378)776-3166
Lisa Martin	3-(458)246-4496
Emily Banks	1-(459)453-3670
Melissa Johnston	4-(260)351-7218
Doris Morris	4-(982)490-5262
Lillian Cook	7-(828)854-3565
Janice Austin	3-(222)286-9143
Janice Hayes	1-(486)297-7632
Stephanie Lynch	8-(162)278-2950
Patricia Hall	1-(762)046-7521
Katherine Coleman	2-(545)506-7651
Helen Stevens	2-(808)115-0431
Linda Duncan	2-(506)186-4497
Stephanie Chavez	2-(130)538-8114
Lisa Olson	5-(801)408-4413
Christina Campbell	4-(924)138-1467
Julia Carter	0-(998)848-1728
Julie Mills	7-(954)385-0693
Marie Ryan	6-(384)835-2585
Kathryn Robinson	2-(691)045-9844
Stephanie Brooks	1-(649)584-1840
Stephanie Shaw	5-(601)063-8591
Phyllis Coleman	0-(317)948-7874
Helen Harper	8-(603)122-6507
Laura Russell	7-(908)404-4214
Kimberly Bailey	6-(599)428-2623
Catherine Duncan	3-(085)653-0328
Christine Jacobs	3-(595)353-0768
Denise Fuller	3-(168)238-9208
Nancy Ford	2-(086)379-7505
Kelly Bennett	2-(842)172-4812
Christina Mccoy	4-(325)321-2403
Robin Washington	7-(348)181-7359
Jane Olson	4-(556)812-6028
Patricia Diaz	8-(398)919-0717
Rose Webb	9-(029)730-1059
Cynthia Kelly	2-(437)178-2042
Lisa Chavez	2-(188)933-1478
Denise Butler	7-(675)480-3583
Shirley Price	0-(548)625-0353
Rachel Walker	6-(244)647-6058
Cynthia Mendoza	0-(660)692-8890
Donna Scott	2-(512)749-9431
Virginia Morris	8-(351)870-6309
Norma Berry	6-(702)087-1499
Brenda King	1-(149)949-1447
Joyce Brown	2-(058)633-0095
Stephanie Adams	4-(664)010-2423
Virginia Woods	4-(635)776-7227
Tina Fisher	7-(775)854-5335
Dorothy Mcdonald	5-(873)964-1271
Donna Andrews	4-(855)712-2647
Cynthia Peterson	0-(300)279-2480
Ruby Medina	5-(335)245-9333
Marie Fernandez	6-(761)427-0602
Sarah Warren	0-(952)007-1654
Louise Alexander	9-(480)623-9272
Joan Fernandez	6-(079)534-8341
Ashley Black	3-(328)454-8208
Annie Mendoza	5-(615)079-9504
Brenda Montgomery	3-(283)846-1443
Jessica Ortiz	8-(638)309-0957
Wanda Rodriguez	8-(891)481-2644
Robin Richards	6-(385)767-0338
Ann Mason	3-(202)090-3680
Jessica Burke	2-(307)474-5890
Kathryn Cole	1-(217)372-7035
Lori Gordon	3-(061)249-7964
Kimberly Warren	3-(583)263-6088
Donna Ramirez	7-(788)805-4979
Linda West	4-(926)753-2478
Doris Bishop	0-(813)292-0902
Lori Fowler	8-(597)231-5484
Rebecca Mendoza	7-(401)095-2831
Nicole Hughes	3-(828)974-3238
Ruby Perkins	4-(980)432-4226
Laura Oliver	9-(944)041-1734
Joyce Baker	0-(255)825-3840
Doris Reynolds	9-(039)362-5226
Katherine Gardner	3-(181)636-9382
Melissa Miller	1-(340)474-0327
Jennifer Harper	8-(544)032-6448
Diana Young	9-(640)095-0001
Diana Sullivan	3-(120)666-0379
Deborah Jacobs	8-(947)928-8721
Christina Kelley	7-(791)472-4129
Virginia Welch	9-(996)465-9817
Rebecca Jacobs	9-(677)046-7995
Maria Rose	0-(915)815-7638
Rachel Marshall	6-(677)274-7159
Angela Gonzalez	9-(827)745-3744
Marie Gomez	9-(257)280-3934
Christina White	4-(609)571-7333
Kimberly Coleman	4-(945)998-3552
Alice Jones	9-(729)294-2434
Norma Willis	5-(991)143-4772
Kimberly King	9-(473)432-0639
Kelly Burns	9-(172)000-2697
Kimberly Pierce	8-(718)414-2656
Norma Alvarez	2-(743)744-9374
Diane Lynch	7-(022)520-9119
Joyce Murray	4-(780)680-1512
Cynthia Moore	8-(809)734-3674
Lisa Snyder	9-(814)314-3720
Sharon Edwards	0-(798)339-8926
Sharon Austin	7-(239)271-4330
Kimberly Barnes	9-(416)013-9647
Kathryn Bishop	2-(243)557-6660
Kelly Stewart	9-(342)649-8248
Jacqueline Kim	1-(255)881-9772
Rachel Duncan	4-(901)353-8519
Denise Reed	2-(049)797-6860
Lisa Wright	4-(659)232-5977
Kathy Willis	2-(078)593-7693
Lois Harrison	2-(650)992-4533
Irene Carroll	4-(345)276-0926
Frances Bennett	0-(186)811-5049
Janice Barnes	7-(628)010-9955
Ann Moore	5-(135)386-3076
Maria Ramirez	5-(604)713-0280
Jennifer Gibson	8-(237)359-3856
Maria Wells	5-(146)637-5888
Mary Medina	4-(441)458-6565
Shirley Bryant	1-(444)033-3208
Carolyn Ramirez	8-(250)581-6903
Karen Diaz	4-(792)812-2580
Catherine Fowler	8-(687)599-1825
Sarah Bennett	6-(284)836-3730
Pamela Johnson	1-(848)675-2243
Melissa Butler	1-(263)209-6714
Michelle George	0-(279)457-1352
Katherine Fowler	2-(019)284-0481
Kathleen Bradley	5-(929)737-7026
Barbara Boyd	8-(794)076-5414
Nancy Pierce	0-(827)240-2047
Barbara Parker	8-(399)609-9433
Carol Bowman	5-(730)410-1941
Lisa Lopez	0-(319)572-1780
Stephanie Spencer	6-(424)390-5436
Helen Reid	3-(647)261-2347
Ruth Meyer	8-(187)548-3403
Janice Carpenter	4-(413)270-2377
Katherine Nichols	3-(620)034-3677
Norma Cooper	7-(035)077-4934
Rebecca Bradley	7-(970)102-8858
Rose Hudson	1-(153)717-4560
Kathleen Nguyen	3-(374)223-6738
Christina Flores	0-(057)192-8636
Marilyn Gibson	7-(809)622-6007
Nicole Meyer	7-(032)548-4943
Sarah Watson	0-(397)957-3753
Theresa Howard	3-(579)363-2530
Ashley Powell	4-(784)419-6016
Mildred Marshall	2-(439)256-6295
Anna Gonzalez	0-(060)212-8230
Mildred Stevens	3-(686)671-3360
Alice Fuller	9-(531)249-1447
Christina Weaver	7-(936)857-1444
Evelyn Woods	3-(842)276-8627
Joan Vasquez	8-(087)904-6668
Kathy Chapman	6-(798)724-9302
Andrea Murphy	2-(523)657-6543
Helen Garcia	1-(790)499-9836
Wanda Cruz	1-(348)777-4942
Lori Hicks	0-(455)084-6282
Linda Jenkins	5-(277)661-3356
Susan Gonzales	3-(680)460-5229
Cynthia Carroll	1-(554)414-2408
Lois Fox	9-(511)182-8397
Lisa Williams	0-(296)734-2279
Julie Phillips	6-(159)127-7172
Paula Ward	6-(099)530-6318
Sharon Arnold	3-(448)656-5686
Beverly Burke	7-(858)843-3421
Rachel Thomas	4-(371)640-2218
Carol Daniels	9-(116)429-8899
Rebecca Bishop	2-(273)975-9762
Mildred Brown	2-(641)652-4420
Donna Hernandez	3-(904)892-2538
Diana Duncan	3-(008)930-6295
Anne Carpenter	2-(156)082-1275
Betty Hicks	1-(229)668-8812
Beverly Gilbert	6-(128)431-3535
Diane Jacobs	7-(988)433-0510
Brenda Sullivan	5-(753)944-2904
Teresa Fox	3-(673)854-9753
Emily Murphy	0-(702)282-0895
Melissa Cooper	1-(426)688-8088
Jacqueline Davis	0-(304)266-7104
Emily Garrett	2-(133)047-5840
Irene Mills	2-(447)793-5532
Marie Howell	6-(821)233-1239
Janet Hughes	3-(412)966-4817
Dorothy Frazier	1-(046)949-5919
Wanda Hall	5-(939)447-4886
Wanda Shaw	1-(491)596-1581
Patricia Montgomery	6-(772)061-8132
Catherine Morris	6-(981)710-8324
Evelyn Robinson	5-(613)011-1916
Cynthia Gutierrez	9-(091)828-9208
Annie James	3-(891)094-2323
Louise Garcia	1-(842)542-4717
Carol Ryan	4-(632)902-0257
Marie Garrett	5-(681)030-7147
Janet Edwards	0-(189)140-1590
Martha Coleman	2-(040)910-2380
Brenda Ferguson	1-(880)274-7827
Anne Graham	0-(723)946-7354
Janet Medina	0-(474)709-4977
Emily Flores	3-(387)174-3339
Anna Thompson	7-(702)666-6521
Ann Hudson	8-(682)723-3285
Wanda Snyder	3-(134)978-8528
Jennifer Jacobs	7-(990)045-0368
Angela Weaver	1-(840)803-5867
Diana Mcdonald	7-(258)882-5395
Brenda Nguyen	6-(703)531-4015
Barbara Sims	3-(080)737-5871
Catherine Mendoza	1-(190)641-9973
Susan Jackson	5-(661)376-3776
Janet Torres	6-(609)801-3044
Tammy Jones	3-(306)431-7239
Annie Mcdonald	2-(304)323-7476
Louise Miller	5-(307)326-9115
Debra Diaz	9-(884)066-5635
Brenda Cook	5-(349)884-1325
Joyce Burns	0-(994)793-1446
Stephanie Banks	7-(939)744-8021
Anna Ryan	0-(807)280-2268
Helen Nichols	2-(691)538-7751
Diane Berry	3-(189)100-4930
Janet Andrews	3-(342)951-5588
Janice Kim	7-(574)287-7982
Virginia Williams	7-(482)412-7606
Lori Jacobs	0-(808)246-8297
Heather Jenkins	4-(357)684-1792
Janet Woods	8-(106)926-3031
Mary Powell	0-(948)350-1278
Lori Gonzalez	9-(864)544-4169
Rose Roberts	5-(754)484-6481
Jean Alexander	1-(370)993-5407
Andrea Evans	1-(848)738-1549
Amy Gibson	5-(096)759-3126
Karen Hughes	4-(298)369-1128
Amy Perry	3-(508)253-7834
Cheryl Simpson	9-(722)122-2491
Linda Ray	8-(480)389-1630
Sara Larson	7-(036)330-8072
Beverly Edwards	0-(946)822-9578
Jennifer Kim	8-(731)635-9236
Teresa Larson	0-(301)682-6998
Susan Burns	4-(554)892-2649
Melissa Brooks	2-(839)847-3476
Kathleen West	6-(272)313-6648
Frances Arnold	2-(546)382-7530
Lois Chavez	1-(489)454-7105
Lisa Burton	0-(251)997-1206
Irene Thomas	0-(578)578-0768
Paula Boyd	0-(302)871-1079
Kelly Kim	9-(837)247-3214
Anne Miller	7-(470)513-4554
Lori Gomez	8-(860)652-7076
Carolyn Rivera	8-(702)122-3464
Paula Oliver	1-(530)923-6681
Christina Sullivan	8-(712)625-8489
Jean Castillo	9-(073)736-2908
Mildred Torres	6-(279)342-7380
Kathy Cruz	1-(257)974-3854
Christine Shaw	3-(413)857-3631
Cheryl Dixon	1-(494)189-3365
Donna Flores	3-(682)749-3169
Ann Crawford	6-(900)796-7551
Theresa Harrison	9-(287)871-2006
Kathleen Cole	6-(592)536-3820
Teresa Allen	8-(434)665-9222
Rachel Hill	2-(393)061-3731
Teresa Chapman	6-(590)339-1228
Sharon Johnston	9-(313)993-3712
Debra Nguyen	1-(490)530-7835
Linda Sanders	5-(937)360-9270
Jennifer Burke	7-(252)981-0301
Karen Wagner	8-(032)662-0536
Robin Wells	5-(162)432-8460
Ruth Gordon	4-(011)774-4720
Donna Ortiz	4-(612)395-6997
Irene Smith	4-(146)376-5859
Catherine Dunn	0-(364)050-2349
Kathleen Diaz	7-(074)448-7624
Julie Oliver	4-(672)116-8565
Bonnie Smith	7-(551)009-7787
Patricia Fields	2-(867)408-8131
Julie Hart	5-(538)118-0913
Anna Taylor	3-(640)540-6601
Jean Murray	4-(484)178-4192
Christina Wood	6-(481)767-2861
Carol Montgomery	3-(226)443-8882
Tina Chavez	2-(828)719-6343
Kimberly Armstrong	4-(645)933-9286
Janice Martinez	8-(472)554-1249
Ashley Thompson	0-(001)520-0056
Deborah Arnold	7-(431)718-7766
Jacqueline Gutierrez	8-(297)329-0862
Anna Stevens	1-(737)246-8762
Judy Alvarez	9-(196)355-1261
Martha Martinez	0-(031)994-6909
Donna Anderson	9-(659)518-1916
Julia Simmons	8-(069)262-6121
Kathryn Cole	7-(540)099-7313
Michelle Price	1-(701)846-6392
Ruby Burke	3-(948)538-8640
Jacqueline Nguyen	5-(785)830-8683
Evelyn Duncan	7-(298)419-9978
Doris Peters	2-(864)915-0124
Melissa Stevens	7-(344)319-6182
Martha Parker	7-(874)329-8557
Rose Webb	5-(795)537-3735
Andrea Reyes	9-(565)661-5955
Marilyn Hudson	2-(046)224-4603
Tina Garcia	5-(213)400-1457
Katherine Fields	9-(221)467-8134
Debra Kennedy	3-(950)280-7790
Janice George	3-(890)354-0722
Bonnie Adams	4-(619)893-7565
Lori Fuller	1-(931)647-0062
Jacqueline White	3-(033)947-5896
Kathy Stanley	8-(339)692-8535
Lillian Jones	7-(630)274-9568
Sara Hall	3-(772)189-2171
Joyce Torres	7-(747)241-5253
Rose Holmes	1-(276)874-8533
Amy Hudson	0-(221)749-2506
Doris Richards	5-(814)764-3544
Kathleen Morris	2-(194)017-3353
Julia Wagner	7-(693)605-4636
Alice Reed	6-(243)652-7198
Sarah Martinez	5-(065)759-8353
Annie Stanley	4-(897)307-6799
Cynthia Banks	9-(815)120-0772
Carol Austin	7-(945)346-5113
Lillian West	3-(640)051-0330
Linda Ray	5-(551)172-4515
Lori Miller	0-(200)775-5794
Sandra Freeman	6-(411)420-5929
Stephanie Cook	6-(383)743-2252
Frances Mason	2-(880)471-4126
Beverly Holmes	0-(194)262-7779
Julia Gonzalez	6-(453)563-3951
Sandra Johnston	9-(090)304-8407
Pamela Harrison	1-(567)718-7758
Julie Fox	7-(374)329-3491
Christine Murray	5-(756)312-1710
Denise West	4-(044)871-3992
Judith Carpenter	1-(488)985-4707
Catherine Evans	6-(615)320-2798
Mary Mcdonald	7-(476)697-6646
Theresa Murray	7-(879)211-3385
Diane Moore	6-(911)109-0142
Evelyn Taylor	7-(691)855-8527
Brenda Rivera	0-(193)312-3961
Linda Grant	5-(279)481-6077
Karen Ellis	0-(270)186-2691
Nancy Brooks	0-(517)360-8565
Doris Wright	1-(981)522-9858
Alice Nguyen	8-(933)052-4268
Ruth Willis	8-(276)384-4197
Amy Cox	6-(628)374-5202
Joyce Scott	5-(134)626-9102
Marie Hernandez	1-(482)430-6197
Melissa Bell	6-(001)119-6777
Lois Carroll	5-(025)302-3718
Theresa Meyer	0-(021)635-9562
Frances Hamilton	0-(501)472-7683
Kelly Gutierrez	4-(920)837-5882
Anne Sims	0-(641)863-0308
Emily Sullivan	7-(406)360-0141
Ashley Jones	8-(286)715-0639
Sarah Hawkins	8-(683)984-7183
Marilyn Davis	4-(020)410-0460
Janice Fisher	5-(979)435-8410
Janet Meyer	7-(909)656-0397
Jacqueline Adams	7-(476)658-2162
Diane Wright	1-(877)552-5462
Donna Diaz	7-(809)806-9881
Teresa Sims	0-(710)794-8728
Beverly Olson	0-(436)392-0186
Joan Carpenter	1-(534)929-9898
Patricia Lewis	4-(771)628-4658
Susan Gonzalez	1-(971)288-5345
Evelyn Nguyen	7-(734)907-2426
Jennifer Webb	6-(718)419-7208
Rachel Warren	1-(742)428-3566
Melissa Owens	5-(588)184-4869
Barbara Chavez	3-(659)695-0269
Irene Matthews	2-(678)487-4462
Kimberly Howard	4-(259)566-4511
Lisa Lee	1-(968)057-3744
Cynthia Castillo	1-(632)894-7226
Rose Elliott	1-(319)797-9001
Martha Palmer	1-(939)803-6075
Judith Simpson	5-(121)234-6782
Kathy Fisher	1-(487)778-9489
Michelle Wheeler	1-(789)999-5273
Betty Berry	9-(824)814-5910
Irene Berry	0-(485)288-6013
Cynthia Fisher	5-(054)413-2553
Denise Richardson	5-(738)743-7155
Judy Kennedy	6-(585)629-4879
Carol Alexander	6-(480)219-9991
Kimberly Sanders	9-(235)787-4030
Rose Long	3-(410)203-5291
Laura Mitchell	5-(764)358-1762
Norma Price	0-(489)945-4778
Laura Lawson	7-(493)061-4159
Wanda Bailey	8-(187)559-5305
Rebecca Taylor	5-(611)173-2832
Kelly Ramirez	1-(327)784-5409
Theresa Richards	4-(287)230-1318
Louise Perkins	1-(706)540-4224
Louise Scott	4-(655)015-0493
Joyce Morrison	3-(468)921-4134
Christine Riley	1-(648)248-7453
Lisa Sullivan	4-(810)927-9154
Lisa Boyd	1-(903)904-9115
Lisa Rice	7-(227)829-9681
Karen George	8-(494)556-1873
Alice Lee	2-(657)672-1058
Alice Schmidt	1-(008)030-1266
Andrea Burton	0-(883)883-0900
Judith Garcia	0-(084)806-6849
Bonnie Bailey	5-(822)026-7708
Norma Peters	7-(175)842-9009
Nancy Weaver	6-(741)971-1949
Dorothy Reid	3-(384)131-7976
Marilyn Morrison	6-(476)805-0918
Denise Simmons	2-(029)705-0283
Joyce Dixon	8-(392)897-2844
Anne Mcdonald	0-(455)162-6352
Anne Moreno	6-(665)502-2014
Teresa Patterson	2-(140)112-2753
Pamela Harvey	5-(077)697-7851
Norma Price	2-(565)225-5561
Jane Howard	1-(957)555-6683
Anne Berry	4-(226)107-8034
Rose Campbell	4-(131)901-5508
Theresa Ward	0-(096)092-2731
Kathryn Fowler	9-(084)332-9427
Andrea Jordan	8-(782)870-1585
Jennifer Wheeler	3-(731)987-3991
Bonnie Crawford	8-(339)988-0467
Denise Dixon	7-(195)215-8575
Ruth Chapman	0-(492)149-0789
Kimberly Ferguson	6-(932)828-4683
Theresa Howell	5-(987)870-6867
Mary Moore	7-(779)645-2332
Tina Garrett	7-(999)553-3953
Catherine Frazier	7-(520)659-9075
Rachel Henderson	2-(858)096-5915
Julia Ramos	1-(741)097-9061
Joan Gilbert	0-(500)184-7871
Kathy Ruiz	2-(146)943-5789
Diane Wagner	3-(116)422-9353
Anne Wallace	9-(326)935-0334
Evelyn Peterson	9-(759)546-6445
Carolyn Lynch	1-(131)323-3046
Kelly Johnston	9-(098)140-6633
Helen King	2-(237)615-0455
Louise Graham	3-(007)989-9235
Deborah Morgan	5-(814)803-5772
Linda Woods	2-(285)764-6049
Kathleen Meyer	1-(757)035-9389
Judith Morgan	1-(125)079-8434
Nicole Mendoza	4-(791)592-2791
Annie Fernandez	1-(106)452-0773
Ashley Rivera	3-(209)777-3878
Carol Austin	0-(465)760-8013
Helen Henry	6-(332)384-5126
Tammy Rodriguez	5-(055)787-0682
Diana Meyer	2-(256)931-5212
Alice Warren	8-(725)363-4273
Virginia Phillips	6-(419)953-7343
Lillian Jacobs	4-(660)414-9428
Janet Wallace	5-(438)818-1147
Jessica Nichols	1-(770)909-9030
Rachel Gonzalez	0-(178)164-0201
Melissa Torres	0-(864)851-4694
Jean Riley	9-(695)091-6508
Brenda Franklin	1-(300)454-5536
Patricia Hernandez	4-(426)349-8179
Sandra Morris	5-(386)272-7359
Sandra Matthews	3-(168)824-1779
Lois Tucker	9-(460)980-5668
Ruby Dean	1-(304)274-0360
Lillian Hall	7-(398)036-8426
Tammy Green	0-(626)862-3817
Dorothy Perez	2-(033)607-8925
Jacqueline Wheeler	5-(771)549-6750
Jennifer Washington	6-(322)483-5988
Kathleen James	7-(220)796-2944
Sandra Ramos	0-(879)448-8657
Janet Fernandez	1-(652)859-4292
Rose Sanders	1-(938)166-4498
Diane Diaz	3-(317)531-3358
Ashley Rose	6-(560)465-4473
Jane Dixon	8-(106)179-8030
Lisa Owens	3-(481)161-5694
Annie Willis	6-(546)995-8373
Anna Woods	2-(124)020-9928
Angela Bennett	7-(046)602-8476
Joan Sims	2-(516)206-2199
Laura Kim	3-(227)757-1405
Jane Palmer	1-(249)243-7268
Norma Parker	0-(347)700-9203
Lillian Harrison	3-(878)186-7730
Catherine Berry	5-(048)248-5553
Pamela Jenkins	8-(602)506-3445
Heather Woods	3-(280)150-9482
Carol Howell	9-(214)392-6238
Dorothy Freeman	9-(382)137-6068
Amanda Coleman	9-(159)911-1478
Teresa Olson	8-(342)282-9333
Deborah Reynolds	3-(867)809-7428
Lois Cooper	9-(255)441-0927
Norma Olson	0-(167)431-6900
Elizabeth Fowler	6-(011)777-0929
Laura Shaw	0-(925)294-1942
Carolyn Palmer	1-(253)530-7558
Mildred Jenkins	9-(327)821-1251
Phyllis Wallace	9-(220)516-7655
Amy Ortiz	0-(941)788-9744
Beverly Grant	4-(444)961-4060
Ruby Stanley	3-(187)034-5524
Denise Simmons	1-(601)449-7017
Katherine Peterson	1-(805)908-4748
Jessica Larson	7-(032)796-9491
Sandra Scott	4-(482)168-4914
Anna Wright	3-(907)436-3859
Shirley Crawford	8-(919)817-1313
Kathy Warren	2-(820)485-5337
Carolyn Berry	8-(081)136-4172
Phyllis Knight	6-(459)027-1995
Barbara Matthews	5-(002)161-5532
Sharon Greene	0-(540)507-1214
Martha Murphy	6-(354)054-8270
Kathryn Greene	9-(521)156-6396
Lisa Romero	9-(310)868-1463
Anne Wilson	6-(359)391-4679
Karen Jenkins	2-(514)861-1651
Theresa Davis	6-(903)041-7410
Kelly Smith	5-(771)041-3533
Gloria Austin	3-(146)144-0464
Mildred Mason	6-(231)002-2938
Lillian Martinez	4-(307)912-7159
Christina Gonzales	4-(117)354-5328
Christina Richards	4-(087)237-2703
Marie Carroll	2-(839)341-2978
Jennifer Patterson	4-(519)668-6006
Virginia Matthews	3-(396)032-5362
Bonnie Black	8-(338)400-9370
Lillian Hunter	7-(391)878-0915
Beverly Martin	1-(276)022-5065
Marie Payne	0-(526)302-7469
Diana Grant	2-(719)772-8785
Judy Nguyen	4-(858)320-0234
Anna Ford	5-(799)915-6999
Laura George	4-(662)149-8101
Martha Matthews	4-(527)648-4544
Gloria Garza	6-(220)174-3968
Joyce Crawford	9-(882)186-0974
Donna Payne	5-(850)800-5147
Shirley Greene	2-(712)600-4013
Kathryn Lewis	4-(760)482-7005
Shirley Hall	4-(060)951-1031
Robin Lewis	2-(473)451-5910
Kathy Harrison	8-(011)208-2873
Carol Evans	3-(528)278-3645
Barbara Daniels	5-(202)922-3379
Joan Henderson	4-(561)415-0166
Linda Harris	7-(195)822-7282
Janet Wright	0-(208)048-2754
Heather Foster	6-(672)304-1694
Sharon Chapman	7-(401)439-4055
Tammy Torres	8-(779)050-6336
Rachel Gordon	6-(664)364-3734
Lois Dean	4-(047)077-6667
Jane Washington	9-(082)508-6075
Sharon Young	0-(024)341-3953
Lois Ellis	9-(661)081-1953
Jacqueline Foster	6-(441)049-4781
Marie Dixon	7-(134)268-2327
Patricia Andrews	3-(903)707-8585
Marie Morris	6-(974)267-5721
Nicole Fuller	2-(318)357-7773
Janet Hamilton	8-(611)428-3898
Robin Davis	4-(334)226-8799
Robin Welch	4-(022)934-8537
Robin Duncan	4-(890)056-5698
Stephanie Ruiz	1-(493)244-4331
Mildred Porter	3-(105)213-4560
Kimberly Murray	8-(490)554-2583
Sharon Garza	9-(182)204-9181
Lillian Howell	8-(936)652-6960
Rose Murray	6-(920)318-9877
Shirley Pierce	2-(482)487-2840
Jean Stone	9-(161)617-9516
Lisa Nguyen	8-(974)952-3232
Ruth Matthews	1-(845)095-0704
Ashley Schmidt	6-(522)436-4488
Phyllis Hall	8-(109)514-7669
Norma Davis	2-(321)353-4696
Rose Foster	4-(095)361-3489
Angela Stevens	2-(054)627-1878
Susan Mccoy	1-(542)043-3464
Laura Willis	0-(957)772-5028
Helen Hanson	6-(810)516-1159
Julie Campbell	4-(292)574-0129
Martha Stevens	4-(486)503-9763
Andrea Austin	1-(294)867-3195
Evelyn Holmes	4-(009)828-3347
Robin Patterson	9-(241)104-9582
Carolyn Evans	6-(200)940-3676
Anne Reed	9-(780)901-0938
Wanda Hernandez	3-(077)699-5269
Elizabeth Ellis	9-(058)676-4971
Patricia Jenkins	8-(145)143-5019
Barbara Bryant	1-(220)301-0409
Kathy Berry	8-(302)933-5820
Andrea Vasquez	0-(538)044-8864
Judith Owens	4-(924)136-6613
Margaret Murray	7-(994)649-5026
Shirley Hughes	3-(592)324-2368
Jane Robinson	8-(766)222-4346
Cynthia Simpson	6-(761)902-1322
Kelly Johnston	2-(223)418-9533
Sharon Mcdonald	1-(742)285-0901
Irene Edwards	2-(630)365-1486
Judy Lane	3-(748)286-4474
Dorothy Myers	4-(465)504-8124
Julie Morris	8-(457)010-1632
Sara Shaw	0-(025)535-0948
Christina Harrison	6-(622)746-1339
Angela Duncan	0-(271)237-8553
Susan Peterson	5-(979)249-3496
Brenda Ray	9-(200)805-9244
Lois Reed	6-(623)700-3254
Judy Morrison	5-(729)165-2742
Judith White	7-(935)219-3658
Marilyn Ward	8-(377)713-5340
Betty Berry	9-(643)664-8352
Maria West	1-(949)995-8046
Melissa Fuller	0-(700)406-1371
Diane Gutierrez	1-(064)520-2187
Kimberly Carter	4-(173)645-2616
Louise Sanchez	7-(296)528-1229
Catherine Bennett	1-(508)514-0171
Judy Woods	3-(447)917-7428
Sharon Harvey	9-(998)100-0683
Bonnie Garza	7-(687)545-5154
Janice Collins	1-(388)962-9090
Catherine Daniels	5-(357)070-1601
Ruth Burton	9-(941)665-8654
Susan Rose	2-(660)925-0784
